#{"t_start": 1735350997.7033901, "env_id": "Swimmer-v5"}
r,l,t
-5.542925,1000,5.657871
-15.613139,1000,9.763533
-0.990638,1000,16.096222
-17.49968,1000,20.213278
4.142017,1000,25.142069
-15.37782,1000,29.270676
-17.68438,1000,34.170787
14.116688,1000,38.231459
13.355254,1000,43.122021
16.093023,1000,47.259314
3.90436,1000,52.153148
7.601791,1000,56.238472
3.671805,1000,61.025731
29.880124,1000,65.046744
13.774449,1000,69.793899
5.660074,1000,73.834027
14.960019,1000,78.588045
17.33031,1000,82.620199
28.561452,1000,87.466715
26.854095,1000,91.617852
11.811601,1000,96.46069
7.436902,1000,100.599614
7.891194,1000,105.440469
4.676805,1000,109.480231
29.970234,1000,114.35661
25.485724,1000,118.482556
15.10613,1000,123.364425
26.373141,1000,127.417457
42.958091,1000,132.20764
17.211708,1000,136.207084
7.836964,1000,140.958393
30.212542,1000,144.976938
18.304662,1000,149.747366
14.983264,1000,153.758262
28.698402,1000,158.599122
34.81706,1000,162.688348
35.469822,1000,167.516047
40.406301,1000,171.611696
39.29013,1000,176.45465
30.543747,1000,180.481413
26.235492,1000,185.287419
49.386872,1000,189.396253
27.341024,1000,193.493578
49.15134,1000,198.284591
31.141252,1000,202.277799
37.299522,1000,206.970252
55.377591,1000,210.968704
47.979152,1000,215.678541
53.67694,1000,219.678487
68.860408,1000,224.386508
52.166579,1000,228.543967
60.478265,1000,233.346618
71.251959,1000,237.415513
61.851022,1000,242.219465
67.552397,1000,246.284309
83.450081,1000,251.023645
79.876318,1000,255.08312
80.230914,1000,259.910154
79.986825,1000,264.004873
85.226455,1000,268.800134
80.499533,1000,272.786242
93.67489,1000,277.46834
89.015906,1000,281.442124
102.628832,1000,286.163784
83.477103,1000,290.147137
102.653356,1000,294.87324
98.867078,1000,298.930158
106.429937,1000,303.731042
109.039046,1000,307.81782
101.491617,1000,312.615038
112.696407,1000,316.693695
118.145606,1000,321.433858
107.408165,1000,325.493286
124.719939,1000,330.305086
128.209471,1000,334.392186
124.167388,1000,339.211271
140.060579,1000,343.186702
128.908539,1000,347.901403
145.400449,1000,351.869871
145.518807,1000,356.565276
149.78688,1000,360.564299
158.426485,1000,365.273106
151.803398,1000,369.328241
150.790073,1000,374.141359
