#{"t_start": 1735350998.5816915, "env_id": "Hopper-v5"}
r,l,t
-11.89311,31,1.968955555.471378,19,2.05045
-15.346611,23,2.150074
51.672301,16,2.218608
58.18316,23,2.3172
52.943229,15,2.381647
56.086034,42,2.562715
60.684734,27,2.677446
58.174073,19,2.758598
-19.439325,18,2.835126
74.100562,39,3.00032
71.372753,40,3.171539
-6.771426,40,3.340717
53.527421,19,3.421309
50.553104,42,3.597868
-28.273932,13,3.652786
76.166052,39,3.816559
44.658374,41,3.989233
65.383195,26,4.098683
-24.027604,16,4.166206
59.07184,19,4.249209
63.20417,26,4.358269
-18.592759,23,4.454282
68.463691,31,4.588535
-13.975594,26,4.698337
-19.656165,18,4.774172
52.628259,15,4.839572
64.055338,29,4.968682
70.757899,31,5.099554
13.157771,42,5.277233
-17.16015,19,5.357104
-10.489854,28,5.475598
69.834118,33,5.62156
73.668561,40,5.792502
80.643736,38,5.951864
56.200465,16,6.019572
65.200464,28,6.137696
-28.825904,13,6.191962
74.477476,37,6.352509
53.2785,19,6.43193
64.142529,26,6.540846
65.914338,31,6.670028
-8.649603,30,6.796125
69.882558,32,6.930138
49.201791,12,6.981155
49.087046,14,7.039668
-20.825101,18,7.114681
-3.742316,34,7.25841
-20.83891,18,7.334297
54.359363,19,7.414548
47.055552,41,7.584636
-24.577288,14,7.643037
-23.104908,18,7.717679
-7.566735,31,7.847395
-6.575326,31,7.976308
-25.261915,15,8.038855
-13.638381,23,8.134644
10.29384,41,8.305948
51.444601,42,8.480909
71.440046,35,8.62609
-23.654526,17,8.697131
37.733045,42,8.871393
73.063852,36,9.020676
49.271746,15,9.082958
60.714019,27,9.194445
64.971466,30,9.319313
34.619431,42,9.493433
65.887663,29,9.615678
-10.939644,27,9.729051
53.751478,12,9.77804
47.308789,10,9.8193
-14.387019,24,9.921009
-22.716631,16,9.988729
57.397873,23,10.085959
37.421302,42,10.262492
61.269101,22,10.351973
69.963052,38,12.668888
61.652261,28,12.786419
65.405132,27,12.904007
64.089016,28,13.020415
52.410114,17,13.091488
74.059399,36,13.241305
50.834404,14,13.300744
74.861667,34,13.450421
65.334631,32,13.588691
-13.327547,29,13.711101
76.106282,41,13.883035
61.512406,25,13.988168
69.912173,31,14.11882
55.583776,19,14.202809
58.363629,20,14.286597
64.805076,31,14.416685
62.261529,26,14.525622
53.720568,18,14.600878
50.747962,41,14.7718
52.588537,17,14.843146
57.794602,21,14.930753
71.392431,31,15.06033
61.714239,26,15.169363
50.590765,17,15.240671
59.181454,24,15.340435
57.898495,18,15.415331
-25.815185,14,15.47345
65.72452,28,15.590952
71.55523,40,15.757352
-6.441394,32,15.891871
-3.549462,34,16.033788
51.222265,15,16.096553
61.348002,25,16.205054
60.84284,23,16.301301
59.214539,24,16.401767
50.11279,16,16.469373
-19.20254,20,16.55263
