#{"t_start": 1735350998.5885801, "env_id": "Hopper-v5"}
r,l,t
66.868813,29,2.025878-101.679253,29,2.050514
--8.762678,30,2.258659637.755324,42,2.438575-32.717181,42,2.619469174.338358,41,2.7940766-16.101155,27,2.909397
57.167,24,3.010815
58.652227,21,3.101384
53.412259,17,3.17376
51.143028,16,3.241484
62.590961,28,3.359653
65.101463,22,3.453208
78.570577,38,3.612653
-21.111.128384,41,3.48755.11-24.330628,17,3.5569.868213,29,3.881991
60.947311.367716,41,3.759.0-28.98955,21,3.88063.603125,28,4.197863
69.746559,32,4.336026
56.23367.31011,28,4.21667.123467,33,4.566676
57.696676,22,4.662616
65.373856,30,4.789204
62.205712,26,4.900619
18.463536,41,5.080729
46.098375,11,5.127041
67.206673,31,5.258061
-15.213986,22,5.351587
55.436145,22,5.444067
62.912907,25,5.549727
51.141926,42,5.736798
77.429985,41,5.908713
70.403165,34,6.051204
-15.608697,23,6.14816
-8.481951,29,6.270501
-25.813758,14,6.330294
61.834284,24,6.434941
43.593318,41,6.606324
-20.6781134.977244,42,6.-3.18114-2.64358,36,6.74.465223,41,7.012753
-26.497868.178629,42,6.965.7228-20.084536,26,7.051085
-26.413187,20,60.641313,-29.692168,188.406773,42,7.545991
75.384197,38,7.704401
-6.667758,29,7.824908
-17.230434,20,7.908537
-27.416388,13,7.962802
-15.162079,22,8.054397
73.859012,31,8.183706
77.808556,39,8.346048
55.063286,21,8.434279
61.388395,22,8.525456
-18.214672,19,8.604576
70.883935,38,8.762638
63.777155,29,8.882803
-17.032008,21,8.970096
1.376222,37,9.123419
67.768155,34,9.264288
-4.482996,37,9.418036
59.640313,41,9.588892
64.367838,29,9.7112
51.007873,14,9.769405
65.349363,29,9.889257
55.885209,20,9.973576
-18.136145,22,10.067492
-1.29184,41,10.241087
55.950478,20,10.323936
73.26463,40,10.487294
30.262753,42,12.822484
60.12383,23,12.923037
7.423542,41,13.094441
53.502926,18,13.169562
60.461002,25,13.273913
-35.802243,9,13.311296
63.973527,31,13.441641
53.088513,17,13.520362
69.012111,36,13.675613
69.414868,40,13.843743
60.016404,23,13.939871
61.475811,26,14.049551
52.049739,13,14.104362
51.046205,15,14.167433
57.877173,22,14.260218
49.294546,12,14.314529
62.412775,29,14.435944
61.253396,23,14.532581
55.528987,16,14.599613
49.924762,41,14.770823
-13.178163,30,14.896308
62.101278,20,14.979828
-19.15141,21,15.067417
50.694999,16,15.134986
56.511202,21,15.222534
51.339313,14,15.281309
57.604473,22,15.372599
65.109852,30,15.497753
67.449741,29,15.619018
52.92432,18,15.694117
66.385028,26,15.802202
61.670139,26,15.911106
28.511836,42,16.086351
-12.515866,26,16.19583
47.900216,11,16.242254
-11.354308,26,16.353996
71.723389,31,16.484426
-25.37592,13,16.539303
53.151606,20,16.622547
66.531032,31,16.752048
-20.304832,17,16.822614
-21.990097,15,16.885346
66.813456,28,17.003091
72.27223,32,17.136827
59.588616,25,17.242404
57.455709,21,17.333935
52.029857,16,17.401393
50.109541,13,17.455312
68.938764,28,17.572615
57.331494,22,17.664681
60.38567,24,17.765206
53.584893,19,17.844592
64.823146,22,17.936967
-19.625468,18,18.012212
-10.590506,28,18.12969
52.877535,18,18.205362
72.011267,34,18.35088
61.218261,41,18.525814
-20.23469,19,18.609034
62.979053,41,18.780657
65.698709,28,18.89706
57.803242,21,18.984887
56.077815,23,19.080718
59.766808,23,19.183793
49.935821,12,19.237663
53.596467,17,19.312351
58.76461,22,19.404649
64.780377,28,19.523439
56.834141,22,19.617549
68.147794,34,19.761818
69.096161,26,19.873582
55.528094,16,19.942597
55.01734,20,20.033216
47.25494,13,20.088986
51.291601,12,20.14296
65.097681,31,20.28038
66.404754,31,20.415837
52.298761,15,20.481536
65.480828,27,20.597658
54.755236,16,20.665795
60.004877,21,20.756165
-4.92851,34,20.900858
65.567261,26,21.011426
62.361125,29,21.13292
49.467932,12,21.183549
64.245735,25,21.289287
61.663519,21,21.377462
75.013176,38,22.265644
56.885455,18,22.341002
79.299124,39,22.504725
54.470085,19,22.583695
52.772058,15,22.646053
55.743098,17,22.717784
55.979397,16,22.784896
65.458987,24,22.885332
55.769891,21,22.973084
56.752181,18,23.048548
53.530855,16,23.11549
57.635218
-45.658196,22,25.811734
17.811647,39,26.002723
104.71204,32,26.16002
43.089217,40,26.360515
38.830274,38,26.547087
41.574124,39,26.734199
-26.824653,9,26.77778
79.374156,36,26.953893
93.249095,25,27.07671
102.838286,34,27.239383
96.89556,27,27.373292
41.136275,11,27.426546
99.394838,37,27.602607
91.652456,25,27.725502
46.993096,9,27.769935
79.325831,38,27.951702
96.83333,31,28.105473
39.478917,17,28.189681
105.956667,31,28.337054
102.797616,34,28.499131
52.51274,12,28.556871
33.590593,39,28.750364
-31.454062,12,28.80985
98.820606,28,28.946551
97.551395,27,29.079141
54.933283,38,29.26504
-35.77365,32,29.425142
90.432734,33,29.583575
41.320942,10,29.631294
38.675635,38,29.819533
92.059031,25,29.944991
29.181753,40,30.141191
66.366702,37,30.324548
-38.358569,29,30.467801
-41.16322,26,30.594018
39.011465,20,30.69607
45.824062,13,30.76554
-46.890292,28,30.903794
-30.566635,30,31.050177
104.499312,31,31.202959
-37.999277,31,31.354763
104.762709,30,31.509113
105.001381,35,31.683392
71.226962,14,31.751689
45.473095,12,31.815761
42.252413,14,31.888901
-41.129762,35,32.072314
-43.32643,8,32.114838
21.397324,41,32.316975
63.679209,39,32.514009
42.812068,11,32.566985
73.539685,35,32.735155
44.16682,23,32.849308
100.25081,31,32.998491
-8.988843,35,33.166096
57.364295,30,33.314929
46.545097,20,33.411247
-28.390137,14,33.477563
10.663993,30,33.623676
-43.077233,10,33.672684
76.621339,18,33.761943
85.540412,26,33.890934
96.216577,30,34.035272
99.113036,30,34.180348
-38.838183,30,34.328352
94.486205,27,34.461803
-44.186085,35,34.630054
82.610602,20,34.726961
100.155807,34,35.649843
47.781661,14,35.721718
12.864137,39,35.909563
96.263425,29,36.048532
46.728101,41,36.247964
47.377435,23,36.358559
97.514245,31,36.506783
56.436246,41,36.702991
43.304309,13,36.765713
102.829547,26,36.889793
75.715868,14,36.962498
80.948358,17,37.044025
63.763871,31,37.19287
39.956502,39,37.379994
47.372872,25,37.502742
-7.255091,37,37.686758
50.829178,24,37.801606
47.307957,39,37.994323
50.624155,25,38.113617
85.373477,20,38.209526
39.023589,10,38.257518
45.164031,13,38.319905
-36.605096,29,38.458375
50.046662,10,38.506281
-38.47856,26,38.630902
0.915038,37,38.807872
-36.928946,31,38.956406
37.337413,14,39.023862
52.7825,27,39.155246
-29.50141,35,39.323412
101.79814,32,39.48
49.125185,13,39.545321
99.320042,32,39.70388
96.648303,29,39.849437
73.900787,15,39.923954
103.739417,32,40.082265
89.217325,27,40.214521
102.602863,30,40.360194
53.21293,14,40.429739
46.770502,17,40.512417
37.61188,17,40.595992
42.888273,10,40.644465
45.941764,11,40.698433
45.839971,16,40.776653
87.37018,22,40.884537
90.719495,36,41.060321
42.021969,14,41.128169
49.662314,13,41.191667
28.088293,39,41.387843
79.738938,21,41.490386
76.758048,17,41.574957
100.857934,28,41.71676
53.340604,11,41.772967
62.519025,30,41.925165
106.191105,33,42.090601
86.553233,39,42.285722
-18.786197,12,42.344098
-33.474115,31,42.499658
24.698079,37,42.680027
-13.95054,15,42.752848
97.703967,35,42.925583
30.836065,37,43.108802
-3.49353,20,43.208174
-44.708951,26,43.336472
48.655529,12,43.394864
20.857902,39,43.585575
-26.771137,12,43.643132
41.460589,24,43.759173
91.229697,23,43.869926
99.174572,27,44.000721
1.003699,38,44.185656
37.483903,16,44.26386
76.337385,18,44.350467
101.785502,26,44.476875
-22.487572,36,44.652371
93.480417,27,44.785894
100.465698,28,44.923472
68.888593,37,45.103498
87.003305,22,45.20896
40.024567,18,45.295465
96.433052,26,45.420899
89.104525,27,46.321966
91.769467,28,46.460253
1.552899,38,46.647932
-34.7575,33,46.811558
96.971104,30,46.958678
49.038656,11,47.012779
52.846096,18,47.101431
78.569188,23,47.214574
