#{"t_start": 1735350998.5788107, "env_id": "Hopper-v5"}
r,l,t
67.903874,15,1.848499
68.189123,31,2.065164-38.596217,42,2.245557
-27.853166,11,2.292135
-27.579154,12,2.343913
57.158352,16,2.413001
--7.219876,36,2.500765
73.334882,34,2.618463
52.463677,17,2.69094
77.35781,38,2.85272
51.18933,42,3.004953
57.372581,13,3.060457
-671.207994,40,3.19792-0.719026,41,3.35754
-3260.931693,22,3.426187-7.07383,35,3.562159
-2073.336093,40,3.66151-2272.094142,36,3.81331530.232402,42,3.922279
-374.279971,34,4.002607-54.159473,14,4.061126
-23.803856,17,4.132712
-10.890374,27,4.250032
-18.324597,18,4.325208333.095303,42,4.50166457.439636,42,4.654886
-215.81073,42,4.778873
60.017763,22,4.87671960.163498,41,5.06432
-9.572518,34,5.208114
4.485959,41,5.383424
-29.884368,15,5.450742
-16.135827,34,5.6027191-31.139628,12,5.6538646850.531491,42,5.83944766-6.506377,33,5.97988562-25.076851,19,6.064246
-30.981402,14,6.123-9.91-1.004067,38,6.284241
65.6593,23,6.381422
55.633377,15,6.444684
-1.026135,40,6.617372
-31.865429,11,6.664115
-27.708647,17,6.7356372.-28.755754,13,6.790252.9-29.607282,11,6.83769.273501,41,6.956146
67.937406,33,7.094341
56.396-11.196981,32,7.276.749-5.840485,37,7.3868.325547,30,7.46836
58.862125,23,7.56427
30.757623,42,7.738896
-23.517058,17,7.809487
-18.238596,19,7.889216
68.026313,34,8.030963
66.432413,26,8.13921
71.043955,35,8.285617
11.094427,41,8.45589
67.85898,31,8.58461
-16.513767,22,8.676739
64.571821,29,8.796809
53.774602,17,8.867456
66.196496,26,8.974931
54.964139,16,9.041537
48.860011,14,9.099754
56.911333,24,9.19874
-16.996378,22,9.290355
51.834355,14,9.348564
59.447377,41,9.519493
55.709924,20,9.604062
57.93383,24,9.704308
80.336034,41,9.874546
53.279802,13,9.930275
81.329232,40,10.099998
72.731927,34,10.242143
52.190628,42,10.413567
-23.515919,16,12.639795
59.688327,20,12.723613
60.443964,25,12.829044
-3.284318,32,12.966435
52.655587,17,13.037344
52.434804,17,13.108205
51.794673,17,13.179195
57.369273,20,13.263468
-19.103689,19,13.342758
71.680543,32,13.488593
63.288622,28,13.606517
66.932241,26,13.715653
63.171563,28,13.832764
76.731435,39,13.996883
51.586048,13,14.051643
-16.066721,24,14.152814
61.226659,26,14.266231
48.185617,42,14.442116
48.051781,11,14.488196
-10.90932,27,14.60135
-11.943102,23,14.697126
51.61556,16,14.764357
73.618949,35,14.910382
53.756308,19,14.990212
54.162398,19,15.069967
55.736587,20,15.153124
65.171364,32,15.28662
65.684902,41,15.457191
53.375565,18,15.532998
-22.782892,17,15.603671
66.326479,41,15.775074
56.668252,22,15.866637
56.465708,20,15.950322
50.686486,14,16.008698
60.779559,26,16.118151
66.231762,28,16.238653
