#{"t_start": 1735350998.6923819, "env_id": "Hopper-v5"}
r,l,t
70.964187,40,1.943944
50.15872,13,1.999277
-22.092321,16,2.068504
59.326452,25,2.176378
-7.7506,34,2.321925
56.539221,22,2.416064
52.087348,14,2.476943
75.44875,36,2.630476
61.311902,21,2.719731
55.459582,18,2.796455
-14.822158,23,2.893953
-20.854.407774,42,3.090952.4-7.834159,30,3.218181
-27.781974,17,3.29072.512247,33,3.242971
51.157818,14,3.302391
-22.1509.71337,41,3.583870.1-28.893165,14,3.64350.30-26.188967,18,3.71-28.77-8.254684,34,3.86433.4512.840655,41,4.03785
-28.475065,13,4.093233
-30.427014,10,4.1368.905898,36,4.097706
55.866956,21,4.189397
63.177045,28,4.306823
56.935879,19,4.385781
69.358774,35,4.537488
9.099865,41,4.709871
-30.955215,13,4.7665
60.1416,24,4.871624
54.217987,20,4.959606
-21.901663,16,5.026764
-16.661504,22,5.119809
54.371383,19,5.20035
71.667757,37,5.356264
66.244279,28,5.481955
54.370469,18,5.557175
61.214755,42,5.73681
60.826649,24,5.837245
32.158167,42,6.013855
73.781976,35,6.162232
73.215608,37,6.321829
49.662204,13,6.376374
-16.016757,21,6.464069
-19.833958,17,6.534524
-28.741645,13,6.589297
-20.044785,20,6.672684
-25.170472,14,6.731836
63.020115,30,6.857455
55.121844,41,7.029602
59.167607,24,7.131603
-22.109805,17,7.202577
61.374146,28,7.320611
66.317491,31,7.450276
67.076814,33,7.587429
-2.120079,32,7.720323
-26.213631,13,7.774418
-26.421414,14,7.832871
-30.583848,10,7.875039
55.810033,19,7.953801
70.342039,37,8.108608
67.795927,31,8.237389
54.271223,14,8.296148
57.443716,22,8.387268
63.474816,27,8.49975
-9.607175,28,8.61612
56.749607,19,8.695418
53.733234,19,8.774161
-6.413052,32,8.906229
61.2321,25,9.010487
61.132939,24,9.109571
54.624864,17,9.180005
47.616654,13,9.234109
28.798053,42,9.408659
58.734342,22,9.501932
71.064232,32,9.635429
71.836582,35,9.780667
-16.925641,20,9.865791
54.957378,16,9.933122
57.986195,21,10.021662
62.347234,26,10.131849
-16.934511,20,10.21467
60.492937,21,10.300047
-13.328037,28,12.574838
42.857772,41,12.748205
58.847542,19,12.83102
57.326522,20,12.914472
80.183274,39,13.07737
65.590591,30,13.202416
-13.271909,29,13.324984
73.688722,38,13.494998
50.675712,15,13.558372
53.674731,19,13.63821
65.779567,26,13.747863
68.168307,35,13.894107
-21.413071,19,13.974456
67.769981,32,14.109018
48.380299,12,14.163711
56.163765,20,14.24769
50.59337,15,14.310448
49.155659,11,14.356835
68.160924,31,14.486504
60.849705,25,14.590922
25.052363,42,14.766244
65.574204,26,14.875371
66.235712,31,15.00508
55.662831,20,15.088249
61.696646,23,15.184968
58.440231,20,15.267974
-0.875361,37,15.422024
50.400551,13,15.476678
62.322292,26,15.584988
64.488094,41,15.756572
57.250587,17,15.827579
-30.311407,13,15.88183
63.888411,27,15.994813
58.618571,24,16.095612
52.883903,14,16.157658
58.421058,21,16.245524
57.299972,23,16.341968
48.055681,11,16.388171
65.367536,31,16.518048
-18.664618,18,16.592875
55.732538,20,16.676255
14.030052,41,16.84788
56.73373,41,17.019636
61.024664,21,17.108094
48.983629,12,17.158973
-20.892033,16,17.229509
-29.913079,10,17.271453
-15.130203,23,17.36761
-26.015429,13,17.421741
56.782474,19,17.50141
55.731528,19,17.580952
67.694737,29,17.70221
74.427627,41,17.873927
65.711403,29,17.995562
51.796348,15,18.05857
-1.565748,34,18.204507
53.203687,15,18.267645
57.937765,22,18.363149
60.501569,24,18.466607
55.180481,20,18.550293
56.767859,20,18.633851
51.290631,15,18.696047
71.620686,34,18.837642
61.701681,23,18.933964
51.977353,41,19.116334
-23.331611,13,19.174147
59.221963,21,19.262107
64.845579,42,19.441513
-17.934582,20,19.525338
52.195605,18,19.602116
44.699921,42,19.782505
73.639327,34,19.932136
-13.524419,24,20.039243
51.131775,14,20.10029
68.085193,32,20.241806
62.056975,25,20.351559
60.001685,24,20.454916
67.14154,30,20.583837
54.848613,18,20.66158
46.676614,41,20.835138
68.867202,32,20.969728
73.14802,40,21.138334
57.777652,24,21.239223
62.756986,25,22.072367
51.493218,17,22.144271
56.929608,20,22.227888
60.549469,23,22.32462
51.938662,1541,26.093936
78.739671,18,26.187155
95.271889,26,26.315957
95.602906,29,26.455642
48.675942,15,26.526655
65.157098,40,26.720785
59.862035,9,26.765336
-22.461664,35,26.936169
-32.27646,37,27.11517
95.274082,34,27.280602
80.506104,39,27.468511
16.647599,39,27.658484
82.225954,38,27.841468
10.390699,40,28.039629
86.788807,35,28.206001
-18.10629,16,28.282512
63.982091,40,28.478295
47.027425,16,28.557056
42.258162,12,28.616397
99.343275,35,28.787444
45.815794,39,28.978723
-24.480324,14,29.047196
44.286076,11,29.102603
102.13579,28,29.241518
94.865095,27,29.371524
43.506815,16,29.447744
51.716733,13,29.511837
69.151679,38,29.700633
-20.464331,36,29.87863
90.148996,30,30.025697
61.795627,38,30.216096
44.832934,14,30.284211
49.398826,14,30.352419
101.890016,32,30.51242
91.035688,20,30.619169
-7.800323,38,30.801826
-49.083103,29,30.943521
57.271791,32,31.102539
-40.349921,26,31.231261
78.756552,18,31.325398
-54.161927,24,31.443556
46.092524,39,31.642354
23.364907,40,31.851753
56.76402,12,31.915253
-53.401809,27,32.050469
89.906885,28,32.189057
104.663391,32,32.350139
39.655379,14,32.417277
-11.429019,37,32.596007
30.397355,39,32.786147
45.866119,14,32.853293
-35.982607,31,33.001722
46.409076,12,33.059056
44.278403,19,33.155962
100.198083,34,33.318373
42.6636,40,33.514231
49.610492,24,33.632879
85.014214,37,33.813484
97.370939,28,33.947376
-40.751497,27,34.081266
-4.801469,21,34.184599
43.483219,12,34.243624
99.297059,33,34.403712
-11.256361,38,34.587848
62.14511,11,35.39928
50.166984,19,35.493793
49.507252,13,35.557585
72.492892,15,35.629023
52.132244,39,35.817256
92.514798,27,35.949596
-23.318697,11,36.001806
48.095951,15,36.074303
43.483953,13,36.136626
-3.501438,21,36.237241
60.889869,10,36.285236
49.262912,24,36.399832
44.344547,13,36.462391
80.312122,39,36.649483
72.967204,40,36.846247
108.391934,31,36.995203
-42.213957,32,37.148906
49.153789,32,37.304766
46.942308,13,37.370972
-34.425001,9,37.414186
85.707023,36,37.589711
-52.326651,24,37.707455
44.734954,17,37.788571
42.870277,17,37.872952
43.681955,15,37.945042
19.273338,38,38.126979
20.358232,41,38.32269
87.186422,23,38.432843
105.762668,25,38.552423
50.842543,19,38.643667
95.36753,38,38.825897
-23.37972,11,38.879419
2.764026,35,39.049388
95.564149,29,39.189209
-8.676869,36,39.367066
51.966193,39,39.560009
45.993962,17,39.645807
49.868865,14,39.715435
86.53914,38,39.903893
49.136554,11,39.957906
89.936321,23,40.070063
3.571233,33,40.230639
50.430907,38,40.417476
46.652065,17,40.500172
98.889622,34,40.667518
43.883123,12,40.725256
-40.440453,25,40.848192
-56.364775,26,40.974098
26.63892,38,41.165437
31.49766,39,41.356915
102.115262,26,41.48648
101.04084,32,41.650031
46.782801,30,41.801511
60.99436,33,41.967459
43.914262,21,42.071816
99.886458,33,42.23603
66.136825,11,42.292207
-47.253897,28,42.427667
50.617937,13,42.491413
46.464167,17,42.574344
97.738674,34,42.742005
95.622363,28,42.882203
108.072107,30,43.029699
93.601979,27,43.162707
38.248737,40,43.358884
-27.518153,12,43.416708
41.700855,10,43.464595
62.574515,33,43.624095
97.756527,33,43.782881
105.39981,34,43.948513
-42.265027,23,44.060245
99.970616,32,44.215485
-34.397374,28,44.350937
-26.716527,11,44.404659
39.029992,38,44.592099
110.599244,31,44.745106
-28.352151,34,44.910265
-12.062554,16,44.987187
40.02676,15,45.059507
-39.686478,28,45.193338
72.266082,40,46.158768
46.60943,14,46.229038
79.015639,39,46.420149
44.978079,11,46.474688
50.941061,11,46.528618
42.86147,15,46.603322
47.811099,14,46.672485
76.445849,39,46.864568
50.996412,10,46.913145
102.357174,33,47.075467
48.55496,15,47.148623
95.824241,24,47.269755
84.466496,22,47.377368
83.24252,24,47.492767
92.660453,30,47.638166
24.550646,38,47.823653
48.526684,14,47.892416
99.905202,35,48.062831
90.851308,26,48.188961
110.075985,26,48.314177
44.194317,16,48.393018
52.458331,34,48.567074
46.885874,11,48.622984
90.356943,27,48.758241
46.663747,13,48.822309
46.55409,11,48.877154
-18.483923,15,48.95357
84.369327,20,49.054639
46.735175,40,49.251991
84.625828,38,49.445983
101.973291,30,49.597515
-48.464773,29,49.738114
50.700114,12,49.798893
47.114172,11,49.853795
78.626214,20,49.951562
-1.176574,26,50.079628
88.951801,25,50.203761
98.933214,30,50.352456
-22.247305,13,50.416457
50.577901,11,50.469961
41.489722,15,50.543031
52.759693,11,50.597512
66.787748,41,50.797849
49.165619,9,50.841737
42.257803,9,50.885123
65.458717,12,50.943491
44.412812,13,51.00856
53.443285,18,51.096592
29.658132,39,51.291681
45.154784,10,51.343816
44.862916,9,51.388577
96.34257,33,51.552771
48.094739,21,51.656309
-45.127331,26,51.785458
77.936076,17,51.879101
21.279788,39,52.07427
103.330204,37,52.258753
48.583503,38,52.450143
48.829037,12,52.510336
51.614751,10,52.55936
50.179303,12,52.617894
46.957099,9,52.663483
47.90574,10,52.713069
88.884894,20,52.810727
37.381269,40,53.007303
-35.495485,33,53.168583
32.888221,39,53.360114
73.948953,38,53.546397
42.578642,20,53.645642
92.167294,21,53.748291
39.493738,11,53.801548
43.481987,9,53.849452
95.38178,24,53.971674
40.086789,14,54.040477
50.960878,35,54.213162
45.958334,11,54.266026
96.223708,28,54.400113
85.709555,24,54.518257
44.597555,40,54.713025
90.979282,25,54.833435
11.095906,40,55.032924
49.182279,12,55.089934
50.317291,11,55.142741
85.728619,27,55.271603
87.653778,22,55.376833
95.97072,26,55.50177
-24.2006,36,55.67381
39.463181,39,55.859776
69.642836,38,56.043115
44.252412,12,56.100567
45.879922,12,56.1577
46.345402,12,56.215152
79.501785,20,57.048455
44.903614,16,57.125494
96.719431,26,57.250218
45.517533,24,57.36518
45.503583,10,57.412693
86.62511,38,57.595115
92.749057,27,57.725906
97.57922,36,57.900342
49.657808,10,57.949122
85.267219,25,58.070381
97.883588,31,58.220939
70.515493,14,58.287903
73.423132,18,58.373918
62.849066,41,58.572668
78.546415,18,58.658606
-39.435076,23,58.769018
93.019917,35,58.936532
87.040496,21,59.037254
48.551881,20,59.132924
98.913387,27,59.263263
46.481689,13,59.3251
82.161647,21,59.425765
71.350822,14,59.493381
-17.143103,13,59.555877
95.952782,32,59.708727
45.759888,12,59.766868
105.426806,32,59.920474
47.386502,12,59.978462
81.965262,38,60.167417
53.499715,10,60.214475
88.727713,23,60.326357
45.222454,25,60.448138
86.107796,23,60.559806
108.478565,36,60.733734
47.790422,13,60.7963
63.903442,39,60.988478
91.760782,26,61.12126
95.912134,34,61.290429
-20.279765,13,61.353441
103.574619,31,61.505625
48.095033,15,61.577285
85.988075,23,61.68823
51.664234,30,61.83392
96.696986,31,61.982108
45.551635,24,62.097115
75.557521,14,62.16381
30.043325,39,62.350141
9.237105,41,62.547056
83.359246,22,62.65189
48.395628,11,62.704867
70.049783,15,62.77665
92.271351,29,62.915217
41.489786,14,62.982606
92.398423,28,63.115775
91.399257,36,63.287699
44.259907,14,63.354271
48.284486,12,63.411725
50.071902,11,63.465786
41.576578,15,63.53789
7.013646,39,63.726448
45.388314,11,63.779455
47.065277,39,63.965224
50.469415,30,64.108581
43.232192,19,64.199808
-15.564001,18,64.285527
42.032717,15,64.356894
50.45724,11,64.410343
45.083337,19,64.501058
95.787493,26,64.625031
98.092745,27,64.752841
103.654294,29,64.892138
50.888224,13,64.95411
46.986777,13,65.016535
49.090256,14,65.082713
18.547885,40,65.275014
42.404582,10,65.323076
95.905702,27,65.45474
103.201621,32,65.609988
58.758685,25,65.729464
93.413284,26,65.853578
28.536764,39,66.040056
103.911075,29,66.178487
83.324403,21,66.278432
46.756517,13,66.343475
90.57273,25,66.462951
91.527132,37,66.649534
97.865779,36,66.823828
50.560861,25,67.687555
52.679451,13,67.749768
90.539044,26,67.874889
103.417601,31,68.026786
95.389268,26,68.151551
98.868623,33,68.309115
55.890723,8,68.34723
-12.838791,19,68.438655
95.220898,36,68.610733
92.507919,25,68.730408
48.91115,18,68.816718
45.141183,9,68.859853
43.196066,8,68.897895
60.029612,19,68.988635
43.907301,14,69.055509
97.675792,28,69.189306
-17.539884,15,69.261431
82.70336,39,69.447246
52.4142,8,69.485641
51.868377,13,69.548073
95.596951,24,69.664938
76.548066,17,69.746178
95.988921,26,69.872466
43.796722,13,69.936243
40.13847,40,70.130932
47.042515,11,70.184787
87.542256,21,70.286652
46.57996,16,70.365154
51.431727,38,70.548283
78.488068,17,70.629747
92.699541,24,70.746602
71.839877,12,70.805103
42.51281,12,70.863169
36.057369,38,71.049126
42.097306,16,71.128191
-33.078066,35,71.296932
48.305361,12,71.355055
51.753723,9,71.398048
42.905668,17,71.480259
49.691951,9,71.523371
48.732904,16,71.600127
93.305761,22,71.711096
104.891909,31,71.859579
107.259132,30,72.002456
50.180016,11,72.055135
47.210899,11,72.107802
45.67046,11,72.160411
48.00719,13,72.222668
95.341391,29,72.360861
46.75402,13,72.422789
49.955161,19,72.516488
49.954481,13,72.579077
57.704543,39,72.768977
48.322625,12,72.831815
94.240112,24,72.946634
50.785794,14,73.013513
97.112114,23,73.12273
49.871175,9,73.16646
86.987908,19,73.256514
47.061918,18,73.342583
51.116086,13,73.404199
54.084607,31,73.555726
42.684654,17,73.636844
42.788732,14,73.703459
51.552785,10,73.751703
43.161132,14,73.818438
56.508733,10,73.86657
89.999497,39,74.054341
83.458408,20,74.150544
73.928271,16,74.227401
86.219933,21,74.32813
50.633092,10,74.376054
43.202896,10,74.423584
88.473236,29,74.563125
60.780548,8,74.601548
46.988334,13,74.664497
74.78253,17,74.745971
45.008134,10,74.793892
105.890558,32,74.950856
-20.171723,37,75.127478
103.830998,33,75.285866
46.248592,13,75.347854
83.081891,22,75.452742
45.164456,10,75.500765
-24.940254,12,75.559275
73.752915,14,75.626592
47.631142,11,75.680672
92.407814,22,75.786902
42.591726,13,75.85047
31.249877,37,76.029784
44.820328,12,76.087732
89.812314,19,76.179872
100.080366,28,76.313322
97.447671,27,76.441856
82.975158,22,76.548719
47.83374,11,76.601391
76.728225,21,76.702654
49.695998,11,76.756697
77.677629,17,76.838264
59.431633,8,76.877168
101.573386,29,77.016174
47.010985,11,77.069803
105.779558,30,77.220294
94.869109,25,77.339721
37.239782,38,78.269063
88.778514,25,78.388859
102.264199,28,78.523582
90.905015,22,78.6278
76.593913,17,78.709273
93.113412,26,78.836221
81.63207,19,78.929709
86.178508,17,79.016331
83.648196,19,79.107322
104.455822,34,79.269537
46.034604,13,79.331773
69.290439,15,79.404946
86.131463,38,79.588977
74.30162,15,79.665433
83.242682,20,79.762188
41.152822,11,79.816154
79.604142,17,79.898993
106.502934,33,80.057782
45.836519,12,80.116594
49.134708,15,80.1886
69.400524,12,80.246083
44.550774,10,80.295094
91.832482,23,80.408194
45.62994,10,80.457345
97.824518,26,80.584685
89.122276,25,80.706941
46.1822,13,80.76941
46.340844,21,80.8711
102.621302,31,81.02244
94.320804,28,81.156423
49.758498,12,81.213925
82.007464,16,81.290499
51.018766,12,81.347762
14.452264,38,81.529658
48.012247,12,81.587108
84.204555,21,81.686442
92.541695,24,81.801282
50.320299,13,81.866944
43.699959,11,81.92101
89.898245,22,82.025833
57.911126,11,82.079261
63.804672,11,82.131423
41.348744,19,82.222564
45.049376,11,82.274919
45.588058,11,82.3276
55.890995,13,82.39014
43.235301,16,82.466056
93.536953,30,82.610639
47.55382,22,82.717013
90.211684,24,82.834885
47.856455,11,82.889019
97.33966,25,83.015084
90.567909,25,83.136852
84.780123,25,83.256534
51.781126,8,83.300734
77.505243,18,83.386776
80.833051,22,83.49217
65.735884,10,83.542757
76.850409,16,83.623992
48.330729,9,83.667595
73.391111,14,83.734627
93.239352,20,83.829887
16.008704,38,84.011284
64.990115,12,84.068959
46.416567,14,84.140164
49.455164,14,84.21353
96.338854,28,84.34754
99.363647,29,84.492075
48.394711,16,84.5728
47.156964,13,84.635942
47.996796,9,84.681231
48.722875,22,84.792492
47.252438,11,84.848837
111.461866,28,84.988935
50.174947,12,85.048911
41.123481,10,85.100224
84.17599,22,85.215867
106.054777,21,85.321233
44.866141,13,85.386243
51.94618,24,85.501852
57.23921,35,85.669832
91.514766,22,85.775148
50.73625,10,85.824695
99.010594,26,85.955079
100.228677,28,86.090445
50.376197,11,86.146745
101.822726,28,86.280792
89.02747,23,86.391056
47.397627,10,86.440948
97.494962,25,86.564935
53.867156,13,86.629313
91.196056,24,86.748344
55.64517,13,86.813899
79.248332,35,86.988523
92.417744,24,87.108928
112.132905,29,87.248333
46.183589,8,87.286739
80.708514,16,87.363333
107.047831,27,87.492529
69.52151,35,87.667376
91.055041,25,87.78846
94.501291,26,87.913437
50.616639,9,87.956291
100.970641,27,88.085898
43.977745,9,88.130426
78.693428,17,88.976749
108.048872,32,89.132313
50.785276,10,89.181198
100.743037,35,89.357431
50.21655,11,89.413517
86.668627,22,89.52795
66.086223,12,89.586237
44.633015,10,89.634823
46.596941,10,89.682749
46.975139,13,89.744856
98.387452,28,89.883103
53.896242,13,89.949179
86.149033,23,90.063939
95.744499,25,90.193168
54.530651,14,90.26661
53.411456,16,90.350765
44.731961,10,90.406685
92.154949,29,90.555675
96.2234,30,90.708547
91.212672,26,90.83476
83.230414,21,90.935444
94.484237,25,91.059906
45.542816,15,91.13455
49.637938,12,91.19158
42.822782,12,91.252583
46.50102,14,91.319596
43.102277,9,91.362668
55.20557,23,91.473012
86.495871,18,91.561146
77.984345,17,91.645785
41.352089,9,91.690524
47.399006,8,91.730048
99.222043,28,91.864059
90.018695,22,91.971897
89.939219,24,92.089826
46.519185,11,92.146123
86.31883,26,92.270961
85.105946,21,92.374165
47.621398,11,92.42854
46.31107,14,92.496562
103.241197,26,92.620353
-22.120377,12,92.679219
48.939581,12,92.738066
44.095546,12,92.797447
95.787029,26,92.926303
49.702784,12,92.985746
67.687857,14,93.055234
51.578004,32,93.214753
90.69658,31,93.369644
47.011855,9,93.413566
95.059832,31,93.561727
90.061508,23,93.671181
55.070355,35,93.844222
57.536871,7,93.879303
42.832719,17,93.965406
76.152471,18,94.054824
41.909844,12,94.113609
44.893212,14,94.181964
54.382519,11,94.236055
47.833471,11,94.289848
45.511441,11,94.343348
96.430615,26,94.473473
43.790721,10,94.52335
48.212567,16,94.602128
95.522706,26,94.726906
49.509878,12,94.785294
44.741262,14,94.855278
47.557304,11,94.91293
51.881577,13,94.980406
43.063091,10,95.028362
48.512939,11,95.081251
43.96095,13,95.144174
45.771221,9,95.189095
91.625274,27,95.321767
43.640665,11,95.374416
49.842444,12,95.432425
91.445491,25,95.554801
97.202697,36,95.733
87.626616,22,95.84138
94.184334,26,95.965833
