#{"t_start": 1735350998.728951, "env_id": "Hopper-v5"}
r,l,t
-45.90653,11,1.674884
46.267421,36,1.854656
574.602263,40,1.997872
-16.320699,22,2.0921497.-28.397045,13,2.1478-28.71.379925,33,2.29028
-4.244306,32,2.426687
57.135203,21,2.516183
66.799092,32,2.652551
7.652956,41,2.827442
53.14908,16,2.89561
60.406744,20,2.980595
74.873047,37,3.136982
-14.843713,23,3.234062
53.100032,17,3.305012
61.617582,23,3.40209
63.862929,29,3.524516
62.093423,28,3.641934
65.994211,27,3.755459
46.41846,11,3.802183
-11.686386,26,3.91121
68.681581,31,4.045437
-17.137622,26,4.154097
68.618089,32,4.288524
-10.67751,30,4.418702
13.328967,42,4.596799
-13.328419,22,4.693545
55.12202,21,4.785532
58.35719,18,4.861351
53.392815,18,4.937739
51.537786,16,5.00561
74.900728,40,5.174052
57.165479,15,5.237644
57.175128,22,5.33731
70.499417,36,5.49226
-18.706043,21,5.58016
-17.744855,20,5.663596
53.214636,18,5.739549
-11.369854,27,5.852965
73.034545,38,6.014043
28.213205,42,6.194155
-19.447139,19,6.273576
64.022515,31,6.403084
-19.710846,19,6.481999
75.529531,36,6.633714
54.35724,19,6.713339
53.878409,19,6.79339
49.364585,13,6.847858
53.011433,15,6.910378
70.87277,31,7.041558
77.092462,36,7.193581
58.850678,23,7.289305
-26.335352,11,7.334392
56.564252,21,7.422024
65.77898,29,7.542504
62.881733,27,7.655105
74.400345,36,7.805141
-21.472167,17,7.875704
51.339644,16,7.943181
-11.553693,27,8.055302
54.298099,17,8.126467
55.352958,17,8.196975
-18.024266,22,8.288547
48.999741,13,8.342824
-17.083695,20,8.426095
23.432935,42,8.600598
57.244127,22,8.691739
61.525465,23,8.786652
78.728637,41,8.956727
-16.121897,22,9.047923
54.069586,41,9.218374
56.111768,21,9.306319
-13.4029,23,9.403665
49.145401,13,9.45737
51.669882,14,9.516332
79.453763,38,9.674221
66.64109,41,9.847853
52.369918,19,9.929361
48.343701,11,9.975107
28.513461,42,10.147368
55.528258,22,10.237339
61.239385,28,12.514596
58.403361,22,12.607714
77.686853,40,12.778544
66.659906,31,12.907792
53.078125,17,12.978721
36.522466,42,13.155454
63.338455,24,13.266975
66.059077,31,13.397475
52.643609,14,13.456214
69.981404,28,13.573975
42.694176,43,13.754316
-26.79646,13,13.80903
-23.412142,16,13.87679
