#{"t_start": 1735350997.787728, "env_id": "Hopper-v5"}
r,l,t
-28.129265,18,1.633246-73.708607,40,1.78182
56-14.356608,27,1.8560757.759244,42,2.038546
62.734716,24,2.141001
81.196848,37,2.298898
61.915584,18,2.375553
51.598203,10,2.4183811176.878137,40,2.588923-163.020798,25,2.695554573.775635,34,2.840544
53.448331,11,2.887342175.491847,34,3.031855464.094613,41,3.207031-67.586849,40,3.376784
51.940338,42,3.554841
63.946229,24,3.657549
70.908186,39,3.823076
56.820662,18,3.899694
57.190247,18,3.976095
55.864354,15,4.040226
65.059682,26,4.150161
59.959825,42,4.336631
71.920718,40,4.505966
25.965967,42,4.683989
57.846422,15,4.748479
57.148814,19,4.828945
63.089562,22,4.923617
70.798445,41,5.096661
72.799787,41,5.270663
53.762079,42,5.449045
79.835293,40,5.622124
52.842735,40,5.79313
46.503946,40,5.96551
60.066479,42,6.149129
72.727962,30,6.279143
51.552166,13,6.336686
66.053269,39,6.504692
71.876244,33,6.646798
75.299713,41,6.822256
57.735869,42,7.002161
61.381196,22,7.094989
69.022841,30,7.220743
34.234732,40,7.390766
68.781378,41,7.562558
46.161388,42,7.738968
64.16541,26,7.848439
69.285071,40,8.016676
74.194238,42,8.193155
75.415079,32,8.327385
55.324608,8,8.361207
60.089144,18,8.436489
74.599653,40,8.60429
64.275341,24,8.705383
61.192539,23,8.801918
55.706913,18,8.877317
70.069433,27,8.990587
55.95979,41,9.162902
79.40317,37,9.317696
59.878249,40,9.486071
80.980859,41,9.65845
50.115849,10,9.700428
65.723192,28,9.817603
70.737805,41,9.98996
62.560065,24,10.09038
71.024454,33,10.229571
66.041226,27,12.554235
80.106032,38,12.714061
61.988148,21,12.802622
61.552183,24,12.908717
74.550134,33,13.050193
63.069639,42,13.230528
66.405417,27,13.345347
48.357027,10,13.387907
59.703731,21,13.478353
61.340979,22,13.574525
64.16393,41,13.757214
54.095968,16,13.830842
64.245852,23,13.934168
59.465819,23,14.042042
69.821343,29,14.18392
78.296739,40,14.368148
52.335701,10,14.410827
59.525795,18,14.490028
70.304623,31,14.625353
60.444705,21,14.718195
73.597187,31,14.85431
58.496398,20,14.942935
68.021074,41,15.116689
60.999215,19,15.196338
62.28584,23,15.296965
52.919776,15,15.36271
52.60037,10,15.406668
56.5989,40,15.581398
76.440512,41,15.763012
67.176193,27,15.881795
64.160185,23,15.983294
61.834911,22,16.076577
61.072025,21,16.167594
63.343582,23,16.266165
72.355871,30,16.395592
79.865775,39,16.567858
72.235125,29,16.690912
74.007457,41,16.864506
50.219287,41,17.042909
61.284869,22,17.139293
67.170221,41,17.319445
59.089113,17,17.394804
84.117645,37,17.5582
78.357456,38,17.726365
57.969976,15,17.789117
75.747088,40,17.959541
67.290661,26,18.069927
72.608866,32,18.211168
46.658072,42,18.392574
61.565968,41,18.566949
69.850913,41,18.747428
63.471306,42,18.931525
44.288323,42,19.116937
67.758526,28,19.242624
59.323527,14,19.304678
48.195447,42,19.487169
27.619875,42,19.665463
66.520525,29,19.789883
65.899887,23,19.900974
76.874312,36,20.056744
59.209123,20,20.142183
62.141463,23,20.245476
69.105804,41,20.421381
49.933888,10,20.464894
73.008287,41,20.645179
71.457139,32,20.784322
78.139219,41,20.964163
74.84843,41,21.138009
63.106563,24,21.243429
52.057746,13,21.30068
75.117509,33,22.236543
59.543586,22,22.332452
78.600749,37,22.494204
66.287155,41,22.66757
54.875166,17,22.742977
77.308371,41,22.920677
61.845098,20,23.005747
57.23848,41,23.179764
63.212033,23,23.278728
67.277182,26,23.393248
65.403655,27,23.508934
68.868286,29,23.632749
17.777531,42,23.816732
39.073436,42,23.996488
53.060744,14,24.058394
73.54778,31,24.194139
54.655437,14,24.253644
52.666867,14,24.313243
60.981431,40,24.488653
61.72536,19,24.572008
60.069673,18,24.6482
77.180401,37,24.807599
58.3149,19,24.88866
56.226554,13,24.945279
53.712667,14,25.00666
54.227097,17,25.081819
68.201528,40,25.257569
58.475193,18,25.339343
61.936594,21,25.433609
56.242078,18,25.514956
66.415954,39,25.688148
50.21219,10,25.730927
54.502371,16,25.799906
54.011976,12,25.851493
65.20848,26,25.962028
47.146452,10,26.004655
58.078952,16,26.075299
65.640512,25,26.18579
69.015413,24,26.291383
79.150221,34,26.439836
70.685748,27,26.554078
62.353099,24,26.661947
64.695893,26,26.779134
47.709265,40,26.947995
75.563522,37,27.115584
60.371596,41,27.289826
53.824144,16,27.358545
52.692313,13,27.414984
53.72292,14,27.476421
66.562893,28,27.595643
65.354576,27,27.709618
71.906818,42,27.895106
59.156194,19,27.976046
78.311752,40,28.145297
65.82896,26,28.255467
81.007671,35,28.408187
68.470605,27,28.526525
54.330844,15,28.591687
62.292249,17,28.666023
63.820649,22,28.762179
69.526977,30,28.892621
63.692623,21,28.98439
68.397821,30,29.117134
78.39946,36,29.271456
77.886774,35,29.420908
61.437216,25,29.530391
54.100906,16,29.600068
64.51013,23,29.701315
58.755683,19,29.783488
61.833637,22,29.876935
78.15049,36,30.032929
70.622632,27,30.153809
69.355103,40,30.324747
55.549306,42,30.512175
73.682512,42,30.691143
62.266978,21,30.780108
53.937937,42,30.959789
63.591,23,31.059518
79.524038,40,32.025378
46.901171,42,32.209824
52.473266,10,32.253362
58.49397,14,32.31335
52.478702,11,32.35987
