#{"t_start": 1735350997.7023325, "env_id": "Hopper-v5"}
r,l,t
61.389517,22,1.838563-340.992811,42,2.018728
80.55844,40,2.189441
55.372583,16,2.257842
38.881913,41,2.433091
54.92571,42,2.612345
-27.137663,19,2.693128
54.856435,13,2.748556
74.778699,32,2.885189
62.90916,40,3.055333
59.590119,42,3.235937
73.445147,34,3.379416
74.810517,40,3.549142
76.839859,35,3.697515
73.31357,40,3.868245
66.666499,23,3.965871
48.137622,10,4.008335
48.794058,42,4.186615
73.153361,41,4.360695
60.102814,40,4.539177
74.965452,34,4.682826
56.049323,42,4.860856
68.906311,42,5.039583
75.56307,40,5.209714
76.214264,36,5.362229
72.45187,32,5.497959
36.86029,42,5.675822
55.545151,16,5.746712
67.763751,41,5.923081
49.250505,10,5.965546
73.316191,41,6.14237
79.450466,36,6.300011
51.778348,11,6.346775
70.025936,41,6.526259
54.249689,11,6.575362
87.704994,40,6.747634
50.823759,13,6.802434
68.036971,42,6.982106
69.447624,41,7.157746
75.139961,36,7.309724
71.252474,29,7.432816
65.923247,23,7.5292
40.01226,42,7.705455
74.328204,34,7.84862
39.993734,40,8.01641
61.891589,41,8.18879
64.203387,41,8.361395
51.337803,11,8.407423
60.14532,41,8.579556
62.537288,18,8.655331
73.838527,40,8.823004
47.216931,42,8.999792
54.239117,40,9.167446
67.986496,28,9.284577
57.190242,19,9.36457
74.174389,36,9.515737
8.526124,40,9.683717
71.265376,32,9.818608
68.915325,42,9.994462
48.71853,42,10.170877
43.842676,42,10.347812
44.256278,41,12.731068
63.957743,26,12.840164
63.671151,24,12.940952
59.255475,42,13.124623
51.903827,11,13.17229
60.408204,22,13.264833
57.577809,17,13.335925
57.880945,16,13.407387
70.598567,27,13.522197
72.105556,41,13.699019
72.415801,24,13.804975
66.086317,42,13.993551
79.960777,41,14.182615
79.377067,38,14.366744
79.054662,39,14.545026
62.030643,41,14.724597
69.356708,41,14.903856
57.351479,14,14.966705
59.00086,17,15.039615
44.306668,41,15.21722
52.629815,39,15.381974
69.583745,41,15.561173
55.61406,41,15.740035
60.402133,22,15.837739
58.283383,18,15.917272
71.609934,41,16.098632
61.714846,40,16.270423
69.300959,31,16.405044
46.074499,40,16.576913
57.655059,17,16.651407
60.2276,18,16.731648
73.805728,35,16.880857
24.8489,42,17.058119
32.126392,42,17.241522
53.187484,41,17.420907
69.228136,27,17.540382
61.379127,20,17.629079
85.326507,41,17.810154
74.008573,38,17.974319
60.531733,18,18.050749
58.48611,16,18.118891
56.700927,15,18.182702
66.975066,25,18.290721
74.768885,32,18.432071
81.152706,37,18.591342
77.742868,41,18.764794
52.749324,10,18.811381
53.287457,16,18.880415
68.918451,41,19.0605
59.65343,17,19.134285
70.563253,40,19.311217
73.391544,32,19.454759
73.748931,33,19.600559
60.314312,21,19.689285
76.354435,41,19.863256
62.758239,40,20.046849
