#{"t_start": 1735350997.7576342, "env_id": "Hopper-v5"}
r,l,t
66.193154,24,1.768712745.372687,41,1.9444155670.253254,42,2.123454
58.52137,20,2.209165
75.164184,34,2.354594
42.050927,41,2.529361
44.973795,42,2.708414
78.759337,40,2.878796
52.419295,14,2.938736
41.244886,42,3.117075
74.703241,34,3.262813
62.985519,41,3.436717
77.857367,38,3.597704
81.616724,34,3.742994
70.24447,30,3.870234
74.508962,40,4.040262
58.312755,20,4.124976
60.824721,19,4.205939
65.894494,41,4.388339
52.361003,13,4.443534
69.676169,40,4.612724
73.334702,41,4.786585
70.032708,42,4.965222
69.112925,28,5.084709
35.871295,43,5.266573
57.244944,17,5.338853
75.704201,34,5.4829
50.966322,12,5.533994
-10.506602,32,5.672459
71.463069,29,5.796957
56.742027,16,5.865402
37.528227,42,6.045707
80.135819,38,6.21266
28.073344,42,6.396862
58.504622,16,6.46747
61.946188,20,6.552073
53.202288,15,6.615536
80.144537,38,6.781762
49.198017,42,6.958608
56.237692,12,7.008661
73.876445,40,7.180405
61.060366,40,7.349743
80.136753,41,7.521919
56.237111,11,7.568135
48.422051,42,7.744642
60.894737,24,7.845522
64.673024,22,7.937909
73.744699,41,8.110273
61.354186,23,8.206926
53.23895,12,8.2576
79.379335,36,8.408747
37.957185,41,8.581064
47.593929,42,8.757368
64.858011,26,8.866516
72.798749,41,9.038094
61.644882,23,9.134988
67.992161,27,9.247992
52.858586,15,9.311109
56.940131,19,9.390697
58.934513,20,9.475196
79.35626,41,9.64715
57.349897,42,9.823807
62.38095,25,9.928406
63.868815,26,10.037539
66.645885,27,10.15066
62.7565,24,10.25213
55.42128,15,10.315019
78.068543,35,12.673687
70.707559,28,12.791111
59.515455,20,12.875084
2.460007,41,13.054656
59.614352,21,13.143882
78.696697,40,13.315536
59.799404,41,13.490275
70.365066,26,13.602755
58.447266,20,13.690672
68.473941,41,13.873415
57.798697,40,14.054854
68.069694,41,14.247672
65.678434,27,14.385678
60.759486,19,14.466492
65.640355,24,14.570961
78.443778,34,14.718929
68.137353,24,14.82544
64.554524,42,15.011071
75.774246,35,15.159793
70.902988,40,15.329413
68.117182,26,15.443525
53.693593,16,15.513685
63.706688,24,15.617838
60.631869,20,15.706423
-4.109581,30,15.838824
68.323364,41,16.020188
