#{"t_start": 1735350997.5213635, "env_id": "Hopper-v5"}
r,l,t
4.487879,41,1.988002
33.101974,42,2.167727
56.014758,17,2.240125
72.185965,35,2.389626
69.301724,42,2.568553
-17.801283,24,2.671202
34.912983,42,2.850277
68.022643,27,2.965313
39.829936,42,3.144613
44.107567,42,3.322912
40.416435,42,3.501958
63.124774,24,3.603936
73.171843,41,3.778034
44.339212,42,3.956613
81.21513,40,4.126716
65.344811,25,4.232779
56.009758,42,4.411237
-15.901194,28,4.529808
67.281203,42,4.70821
7.249686,41,4.881871
65.0682,24,4.984841
61.601078,20,5.068849
-1.498618,40,5.238613
-12.536767,29,5.361453
70.436149,34,5.50601
-22.394852,20,5.590826
25.082243,42,5.772352
66.167028,28,5.892056
-16.528552,28,6.012072
70.003338,29,6.135398
70.546708,32,6.278049
79.43105,41,6.456288
78.434132,40,6.627467
67.86968,30,6.76006
55.388017,42,6.939584
-28.864848,12,6.990179
46.553676,42,7.16702
68.756827,32,7.300963
63.112217,42,7.47891
71.554475,34,7.624937
73.756875,41,7.797988
73.926639,36,7.94908
48.736923,42,8.125866
69.304484,32,8.260022
8.885461,41,8.432792
70.132302,42,8.608803
17.470713,42,8.785072
41.145742,42,8.961493
68.156822,32,9.095727
61.959086,25,9.200526
53.846006,42,9.376642
79.924784,40,9.544976
22.679358,42,9.722206
-19.212726,21,9.809606
41.455044,42,9.985767
69.495709,30,10.112161
-24.111931,19,10.19132
74.137245,35,10.338745
32.233549,42,12.727502
39.46499,42,12.902818
69.637831,32,13.040011
52.143762,42,13.222482
39.938025,42,13.399159
-24.587889,17,13.470843
74.345324,36,13.627314
74.28652,36,13.785005
55.454326,17,13.860972
66.099902,42,14.056097
72.154044,36,14.221683
69.536617,41,14.412018
72.932259,34,14.564186
73.201522,35,14.711916
20.916276,42,14.897972
63.850497,24,15.004588
-18.378955,23,15.102533
72.113037,31,15.233876
68.391392,32,15.368896
66.295067,26,15.484228
63.492922,41,15.664869
53.409972,13,15.721405
63.691814,25,15.832216
70.955506,31,15.96939
76.687957,41,16.150581
51.778577,42,16.332852
67.731244,29,16.455162
77.874624,41,16.632396
-13.343771,28,16.756842
77.560048,36,16.909303
77.074046,35,17.057882
70.386244,35,17.209099
64.029078,42,17.393336
60.300002,42,17.578488
75.424308,38,17.747112
65.565323,28,17.870264
74.249993,28,17.991128
43.355659,42,18.169142
72.357382,41,18.346582
35.764559,42,18.530723
72.086484,35,18.679512
63.401978,25,18.78558
16.61014,42,18.967591
55.037093,41,19.146731
65.226244,27,19.273535
61.005056,21,19.369723
65.582341,41,19.551092
-29.139612,17,19.625169
54.665202,42,19.803353
59.874075,22,19.899275
54.77521,42,20.084073
66.546088,28,20.210519
53.26633,15,20.277426
72.362033,32,20.415596
78.520086,38,20.576507
75.028031,35,20.729961
52.705883,42,20.908753
69.64475,42,21.092252
76.200237,37,21.25493
63.828424,42,21.436347
74.368488,42,21.617517
35.238844,42,22.595061
74.393871,35,22.744235
73.256978,36,22.899729
77.656826,41,23.088272
67.162021,29,23.21164
60.156955,24,23.313438
79.503235,41,23.4896
52.7796,16,23.560107
55.876293,11,23.608779
49.22981,12,23.660253
65.546951,30,23.787395
81.521333,36,23.944339
78.334121,42,24.125344
45.644856,42,24.308387
71.155918,31,24.442149
57.724036,14,24.502101
39.86639,42,24.6862
64.577744,20,24.773942
71.672979,42,24.951045
70.002216,41,25.124679
70.035941,25,25.23551
74.866352,32,25.375371
-20.062534,29,25.504518
65.886411,23,25.612504
56.126754,16,25.688812
56.887109,42,25.876951
73.996795,36,26.031545
69.952472,27,26.146651
56.482201,15,26.210456
59.253641,18,26.290492
66.490119,24,26.396597
63.256366,24,26.504848
71.686995,34,26.649306
63.134457,25,26.757909
77.811779,36,26.919634
62.465486,17,26.993516
66.899022,42,27.171268
59.184237,22,27.268613
68.537174,26,27.381634
-26.843002,17,27.452925
73.078425,39,27.624444
69.771137,25,27.737377
64.677536,25,27.843365
55.702504,12,27.894277
49.401428,10,27.937702
34.374513,42,28.123514
66.435705,28,28.241779
69.194475,29,28.3637
77.477365,33,28.504384
57.238754,20,28.592535
63.104122,25,28.70198
73.693881,41,28.880731
80.972979,39,29.050808
77.101117,36,29.208319
68.186365,30,29.341683
67.539292,42,29.521438
73.215796,35,29.674405
60.52879,24,29.779654
70.474212,34,29.929043
63.148661,24,30.0313
77.51244,38,30.194525
47.980775,42,30.377924
54.219801,16,30.445984
59.716969,42,30.630142
64.883053,25,30.739823
52.772421,11,30.7864
57.865381,21,30.875594
70.775998,41,31.05314
75.786831,36,31.209675
74.56718,38,32.180671
70.795239,41,32.358941
75.217077,42,32.540438
74.08498,41,32.717945
63.022394,21,32.811251
76.182243,41,32.987886
66.402021,29,33.114679
61.675971,24,33.219608
63.262062,23,33.322955
57.295982,19,33.407347
67.224247,26,33.519879
57.599893,23,33.620358
52.93838,13,33.677323
73.346651,34,33.830103
79.71037,41,34.004164
52.599094,10,34.046854
69.050251,33,34.198025
77.917241,41,34.37867
68.199879,29,34.503486
64.938387,42,34.682241
70.907999,32,34.822576
75.577697,40,34.993291
59.956898,18,35.072415
60.849615,20,35.16164
67.707473,30,35.290482
75.619046,30,35.418288
60.706307,17,35.490961
66.065499,27,35.608302
66.520802,27,35.723692
77.659743,39,35.890416
72.296884,33,36.030293
65.709837,42,36.207764
68.206388,28,36.326535
66.559638,28,36.445322
67.557201,29,36.568345
68.282951,42,36.745784
60.910202,23,36.843499
69.482178,42,37.023462
66.746476,26,37.13615
64.631579,42,37.320568
50.38891,12,37.372093
75.326376,41,37.548867
70.743489,33,37.68996
69.110341,30,37.817413
57.483476,19,37.901612
66.062764,28,38.020526
71.185728,31,38.152401
61.060773,22,38.245794
54.005004,15,38.308933
66.872192,26,38.419235
71.50985,34,38.563415
62.853537,24,38.668427
72.625859,41,38.848158
55.899484,15,38.911652
71.606278,33,39.056679
53.641604,42,39.236922
66.472954,29,39.361246
60.358124,20,39.447944
76.852982,40,39.622825
55.001459,17,39.697055
82.127576,39,39.874701
67.261697,41,40.053215
70.87876,42,40.234717
74.107826,30,40.365032
63.508231,23,40.465572
76.270277,41,40.642763
65.765797,28,40.765011
68.676267,33,40.906546
63.245182,24,41.005561
58.014038,18,41.881561
78.208427,41,42.061186
54.148262,16,42.131799
67.820689,22,42.227177
51.500885,13,42.2834
63.134949,25,42.390361
65.537787,26,42.50201
71.783648,42,42.683784
63.84092,25,42.791656
76.737408,39,42.960031
66.240037,29,43.085475
73.317315,29,43.209456
73.640483,36,43.363252
60.399237,23,43.465451
66.228808,28,43.58497
64.421722,23,43.683003
68.857712,30,43.811748
65.341328,27,43.927637
71.435538,27,44.044549
60.835241,22,44.139404
53.00767,13,44.195425
62.303412,23,44.298354
62.119664,22,44.394007
52.140424,11,44.44083
52.442119,15,44.505322
65.328983,26,44.618942
60.186845,19,44.702233
56.538296,18,44.780393
48.897405,11,44.828547
70.758257,31,44.963166
66.327548,26,45.074607
68.001106,25,45.187542
56.42659,20,45.272221
74.705419,37,45.433275
64.065291,19,45.518188
59.794757,22,45.614213
55.130718,12,45.666363
74.093986,37,45.827336
65.021442,26,45.941904
62.029475,42,46.128512
64.538295,24,46.238446
76.525292,39,46.413093
69.420062,31,46.548961
58.587024,17,46.624135
69.562531,31,46.76017
66.521549,28,46.881924
58.527279,17,46.956424
62.171382,23,47.05539
62.593679,19,47.137669
64.799975,25,47.246778
60.200901,18,47.325233
65.963464,26,47.438929
57.94479,19,47.520921
64.558034,20,47.605755
66.766235,25,47.712822
63.729679,25,47.821764
68.232783,27,47.938329
52.107575,12,47.991249
54.125414,15,48.056525
57.833294,20,48.142577
70.124561,28,48.262509
59.616008,21,48.351454
62.108261,24,48.454176
61.4085,23,48.554856
54.25641,14,48.615985
52.747172,14,48.677772
60.149575,21,48.770738
65.233968,26,48.890323
63.384883,21,48.983122
59.169634,18,49.064125
64.736045,25,49.172456
60.140378,21,49.264166
60.770111,20,49.350645
76.152758,36,49.508848
77.16084,38,49.674382
77.500626,40,49.847803
49.176721,10,49.892653
65.613064,23,49.997879
61.032185,23,50.096995
70.595936,34,50.246125
61.974341,25,50.356728
75.386021,36,50.51469
68.67747,29,50.638692
63.022014,21,50.726367
52.723961,13,51.571231
60.59179,19,51.65619
69.104073,26,51.767807
59.309305,21,51.86113
72.602651,32,52.007617
