#{"t_start": 1735350997.6544511, "env_id": "Hopper-v5"}
r,l,t
-1.57981,41,1.853919
73.644968,35,2.003655
22.775796,42,2.183007
76.71253,34,2.328283
60.383488,23,2.426124
45.85742,42,2.605423
76.380667,41,2.780485
76.531299,39,2.947891
67.599714,31,3.078971
13.771521,42,3.257599
49.483239,42,3.436032
39.389155,42,3.614153
41.897158,42,3.793117
63.338732,42,3.97167
-14.771561,25,4.077523
-4.60957,36,4.230169
78.520232,38,4.391537
72.404093,36,4.54432
35.53391,42,4.722207
40.562808,42,4.90098
44.831087,42,5.079243
67.139668,42,5.257538
79.292476,40,5.427055
-9.566946,31,5.561972
58.068595,16,5.629955
77.860018,40,5.801066
67.352331,27,5.916558
54.069323,16,5.984578
73.127325,41,6.169195
76.825474,41,6.346795
59.834643,42,6.523429
47.809363,42,6.70623
8.339523,41,6.882005
63.998806,22,6.974192
74.024462,30,7.100328
60.117663,42,7.278327
69.695129,42,7.454004
32.755252,42,7.63431
74.9054,41,7.806571
77.977823,37,7.962114
76.548488,30,8.088004
42.819171,42,8.264788
53.02527,42,8.441127
74.885116,40,8.609079
50.971549,42,8.785475
22.299685,42,8.961682
67.877697,28,9.079463
71.637146,41,9.251149
74.178494,36,9.402448
15.905131,41,9.575583
78.195837,41,9.746464
25.719668,42,9.923072
55.499328,41,10.095217
63.031424,24,10.196332
73.90165,34,10.339124
76.796966,33,12.689678
69.471092,33,12.827685
73.557932,36,12.985122
71.724661,35,13.13456
51.02326,12,13.18516
47.64033,42,13.362347
69.868045,31,13.49797
67.838891,30,13.629287
76.950326,38,13.802209
67.878707,25,13.917303
36.049935,42,14.110462
73.25499,41,14.29976
55.377477,18,14.379867
72.065844,31,14.51486
48.693609,42,14.697364
59.520417,20,14.786287
-7.710254,36,14.943192
68.254365,42,15.121047
-25.702925,16,15.188555
63.774686,42,15.373092
69.416128,30,15.50475
44.076761,42,15.689021
68.993301,31,15.826537
39.08404,42,16.011745
34.536488,42,16.19438
72.426607,37,16.350726
58.56241,42,16.533614
42.049658,42,16.716356
66.831518,31,16.847281
77.239289,35,16.995788
25.947375,42,17.18057
69.973408,33,17.324567
71.020663,41,17.506591
68.567875,42,17.692066
62.084745,42,17.874259
62.851597,23,17.971388
77.976941,37,18.129093
45.719134,42,18.314028
74.40215,36,18.469033
56.188887,18,18.545468
57.48646,17,18.617681
75.285457,41,18.793057
72.141149,32,18.934309
51.318664,42,19.122863
51.594348,42,19.315753
75.393402,38,19.482537
53.362565,42,19.660685
40.233399,42,19.842069
75.161577,32,19.9853
68.99688,42,20.173312
57.212505,17,20.24483
78.110008,39,20.412969
57.348948,41,20.591517
61.693766,42,20.770521
69.586833,29,20.896004
66.384751,29,21.027373
72.545161,36,21.180411
66.227725,28,21.302239
60.45775,42,21.483484
68.110343,30,22.40968
80.250815,41,22.584365
69.04837,34,22.730054
68.842679,33,22.880608
75.11371,40,23.056482
67.332032,30,23.183839
72.561876,37,23.342454
52.104143,14,23.404197
76.782655,41,23.581228
69.561299,29,23.70481
36.744687,42,23.889103
57.115747,20,23.974264
66.645745,28,24.094884
67.333623,29,24.222519
78.080741,39,24.389452
51.983252,13,24.446033
61.770336,21,24.539073
67.182115,28,24.660951
68.217157,30,24.787588
85.03767,41,24.960844
59.526506,24,25.065435
67.548271,30,25.198897
76.762856,41,25.379625
64.376463,28,25.510128
68.59146,31,25.654464
62.810254,24,25.75998
69.192027,28,25.880693
65.185256,28,26.000181
65.270828,24,26.103116
78.064654,41,26.284206
70.466428,42,26.468542
43.885358,42,26.650321
77.081607,41,26.833891
65.260979,27,26.948376
55.899261,42,27.13018
44.215197,42,27.310494
12.518463,41,27.49035
71.309635,33,27.636937
74.067465,34,27.781502
49.417229,42,27.967567
58.758613,15,28.031384
51.623675,10,28.074042
71.439129,42,28.251106
60.962579,22,28.344074
71.082595,30,28.476504
75.232928,33,28.620161
48.094557,42,28.803476
66.436023,26,28.916719
77.560008,37,29.079211
73.985536,36,29.238886
60.770623,21,29.32801
61.332539,24,29.429617
47.258895,42,29.615599
72.653121,30,29.746759
-19.477883,22,29.842582
65.380213,27,29.957009
72.116312,34,30.104733
60.305292,19,30.188009
77.564949,38,30.350258
61.122421,21,30.442623
74.6822,36,30.601588
69.883642,31,30.73324
36.206001,42,30.914897
70.375136,33,31.057679
61.631873,24,31.162085
48.828919,10,31.202222
57.783558,15,32.07704
68.892984,29,32.202762
78.081043,36,32.359494
67.259168,26,32.469925
62.901682,23,32.570203
70.198666,30,32.702832
65.307516,25,32.808436
65.092365,26,32.925329
59.186919,22,33.01881
69.927704,32,33.163558
69.335366,30,33.294705
64.869675,41,33.473078
55.476256,17,33.547892
60.796094,18,33.629278
69.998402,32,33.768799
66.581391,30,33.896021
65.341718,21,33.993889
60.466023,20,34.081974
49.882983,9,34.121389
56.463881,42,34.306026
48.251538,11,34.352129
65.879072,42,34.5308
65.320673,42,34.714222
62.834999,25,34.820983
53.120599,15,34.884893
63.099185,21,34.977756
60.763628,42,35.160928
75.746137,41,35.335704
70.001516,31,35.469192
64.000707,24,35.57235
75.455555,38,35.735166
29.081021,42,35.913554
78.041193,35,36.061145
62.319438,23,36.158744
66.059194,42,36.336715
61.812932,22,36.430135
56.726095,19,36.510781
69.50533,29,36.633508
70.534477,33,36.773116
76.429403,37,36.932928
75.809455,37,37.095681
74.265271,33,37.238
76.19886,34,37.384087
74.968185,31,37.517397
57.907363,19,37.598394
58.371175,17,37.670959
49.424362,8,37.70793
61.544566,42,37.886466
57.056859,14,37.945857
19.782299,41,38.12041
66.522869,25,38.226221
63.393578,23,38.323693
57.531411,17,38.395631
61.912575,23,38.493101
65.904932,42,38.677201
73.764047,32,38.816791
77.785844,37,38.979122
73.586707,32,39.116374
72.335311,42,39.295577
66.855512,26,39.411284
78.322402,41,39.589624
71.084517,34,39.745362
76.467469,38,39.90985
68.169575,31,40.044383
35.401349,42,40.226559
70.780178,42,40.409579
63.082439,27,40.526493
64.81348,25,40.635516
60.23513,17,40.70777
77.202461,38,40.867117
77.586908,39,41.835298
73.832971,34,41.984915
74.406215,42,42.166557
55.102806,17,42.239193
67.931305,30,42.367901
50.529142,12,42.4199
60.735212,23,42.519479
53.682694,16,42.588963
59.687236,22,42.683715
64.153251,27,42.800131
59.708186,21,42.890908
60.298479,22,42.985657
53.906038,13,43.041943
60.630058,19,43.12224
65.233418,27,43.238085
64.922755,24,43.344326
67.008749,27,43.459548
73.076134,41,43.635716
74.376564,41,43.811402
75.541775,40,43.984078
58.084619,16,44.052778
50.089844,13,44.109207
75.641656,36,44.268567
76.763765,34,44.414093
67.802996,28,44.5376
55.172455,13,44.594845
72.195712,35,44.746965
68.961247,26,44.859497
74.157606,34,45.006711
52.055535,13,45.066286
65.512876,23,45.164025
67.276209,28,45.286214
64.579411,27,45.406009
61.198078,23,45.505878
69.923371,31,45.640892
61.21434,23,45.741343
65.026605,21,45.834375
76.455289,37,45.999128
57.790923,20,46.090987
77.809007,37,46.25746
54.104529,15,46.322962
70.330546,32,46.463887
46.493426,42,46.648554
62.248868,24,46.752549
47.383952,8,46.7873
71.381309,42,46.969436
71.364426,32,47.108119
59.095654,18,47.186895
55.90641,11,47.235027
61.714513,24,47.339266
71.486668,35,47.489227
55.970843,19,47.570316
61.944163,18,47.648431
71.858002,35,47.800078
51.833207,14,47.861694
59.156474,19,47.943875
55.148846,17,48.017358
63.595179,27,48.132928
52.5512,14,48.19214
58.495496,20,48.277316
67.138669,28,48.399418
63.06438,22,48.494881
56.312083,19,48.580091
61.628258,22,48.677139
51.618011,12,48.731042
58.410562,21,48.82706
67.249151,30,48.961097
64.060623,42,49.143754
70.636211,32,49.282223
48.805283,10,49.32592
80.43707,38,49.492594
62.912427,23,49.593441
66.249919,29,49.718206
57.914164,21,49.815943
45.709333,8,49.850775
63.136764,22,49.945712
54.984594,17,50.020133
65.053522,24,50.125439
60.365972,19,50.209149
70.174033,34,50.358842
62.555068,25,50.46639
52.658604,11,50.513668
79.131489,41,51.479258
63.4119,26,51.591161
74.066544,37,51.753747
64.166769,26,51.873048
70.123943,32,52.014302
71.268474,34,52.164261
69.517585,28,52.289431
60.522737,21,52.38459
73.193462,33,52.532029
68.895788,30,52.666857
73.92222,36,52.823385
72.086403,41,53.011497
62.76544,19,53.095399
55.957351,15,53.159601
52.300886,10,53.203533
54.057518,15,53.267979
62.33267,21,53.359198
68.83316,28,53.480721
51.546711,13,53.537803
70.330575,41,53.716878
65.892426,24,53.821341
61.081807,20,53.909516
52.610646,15,53.974243
62.684452,19,54.057113
61.357734,23,54.156
71.661824,27,54.273501
58.799895,13,54.32862
67.912487,27,54.443061
53.538019,17,54.515766
67.849834,28,54.634295
59.117737,21,54.72357
59.722466,17,54.796315
58.981205,22,54.889152
53.562508,16,54.960385
80.229398,41,55.134808
67.608362,30,55.26195
67.393068,30,55.388924
60.164479,15,55.452827
61.054394,20,55.537982
69.206454,32,55.673557
53.121542,15,55.737315
71.209537,41,55.912238
58.013721,19,55.993032
66.19278,22,56.086319
77.310291,41,56.26297
64.02403,24,56.366191
84.089471,40,56.537017
77.749207,38,56.69906
62.071531,25,56.806089
64.422733,25,56.912765
62.250718,24,57.014325
79.613429,41,57.19052
59.238028,18,57.266695
60.7662,22,57.362274
68.373276,32,57.501113
63.093969,25,57.608225
74.428012,32,57.743937
58.259277,21,57.832949
72.732696,33,57.97294
59.376151,21,58.064966
62.459208,23,58.162556
60.847367,24,58.266638
64.745462,16,58.334468
76.123724,37,58.491202
48.859012,11,58.537727
69.596448,28,58.656584
77.081805,41,58.82964
57.70248,18,58.909171
79.61497,41,59.083339
60.735958,24,59.185272
72.375914,29,59.307839
57.830977,20,59.392848
65.753634,26,59.502897
66.345881,31,59.634279
63.136613,21,59.723198
61.077841,22,59.818307
77.437429,39,59.985929
51.556507,12,60.038054
75.586964,38,60.20011
62.494866,25,61.082364
77.620427,37,61.245202
55.581352,17,61.318333
80.553651,40,61.489211
57.653204,15,61.553054
65.144437,23,61.651018
57.171712,18,61.72759
71.409949,31,61.858593
63.115486,23,61.956068
61.354879,22,62.049081
75.520557,37,62.205337
69.044462,29,62.328397
60.131786,19,62.408584
62.462195,18,62.484599
50.469864,11,62.531704
74.325937,36,62.68393
57.904121,20,62.768587
63.731236,25,62.878591
51.516732,10,62.920861
46.337023,42,63.098502
71.003079,31,63.22977
52.535663,14,63.288612
67.745622,27,63.402773
66.433631,29,63.525108
61.105732,23,63.622032
53.700234,15,63.685186
67.285912,29,63.807005
65.74138,27,63.927837
58.602409,20,64.012697
68.624878,31,64.143626
55.270995,15,64.206246
66.441961,29,64.332001
54.320852,16,64.399706
56.076067,16,64.467272
56.92608,17,64.538819
49.473026,12,64.589243
71.986876,27,64.710428
62.962534,22,64.803869
78.142999,41,64.978139
75.766866,36,65.130944
66.4265,26,65.240866
74.416932,34,65.388748
58.983518,19,65.469987
65.405321,27,65.584252
72.96614,31,65.715628
58.451476,19,65.796521
47.342682,10,65.838866
57.572366,20,65.92362
70.877261,30,66.050644
60.706721,20,66.134589
64.808228,25,66.239867
65.874511,27,66.354612
66.093204,25,66.460676
64.955513,26,66.571049
55.926,16,66.642507
72.677771,35,66.792393
62.010838,25,66.898941
54.516495,15,66.963256
62.030031,23,67.062098
72.511925,33,67.203244
71.188183,30,67.330649
60.777917,19,67.411567
60.105428,21,67.500785
75.696939,41,67.674585
58.718653,23,67.771634
58.980858,21,67.860511
56.764505,18,67.936492
60.019008,16,68.004154
60.078898,22,68.096942
64.326599,23,68.194547
69.82384,31,68.325611
63.618892,24,68.430328
60.723238,22,68.52398
74.500711,33,68.663933
58.262541,20,68.748684
57.891995,21,68.837506
52.77519,14,68.897028
55.756974,13,68.951909
61.094712,19,69.032062
66.171807,27,69.145786
48.650938,11,69.192414
72.840335,34,69.336193
62.257182,22,69.428465
60.416401,23,69.528953
69.832107,32,69.664713
61.155475,25,70.543977
63.762378,24,70.646541
54.305711,14,70.709924
49.392316,10,70.752982
68.577296,29,70.876486
59.095489,19,70.957314
54.020293,16,71.024771
78.661256,41,71.209948
67.681452,31,71.343717
62.548539,24,71.446829
60.678165,22,71.541584
60.026805,24,71.645237
49.875425,12,71.697641
69.269113,31,71.833288
67.328488,27,71.948481
52.936284,13,72.003829
74.153041,33,72.143652
64.538139,27,72.258368
51.099866,11,72.304938
51.1799,11,72.351061
60.723465,21,72.440083
58.331897,18,72.51605
52.884791,12,72.567199
60.338492,19,72.647452
74.294583,38,72.809216
48.090216,10,72.851514
56.644496,18,72.931522
58.584351,19,73.012348
71.864749,33,73.151713
71.242064,35,73.299877
77.577633,40,73.469675
63.376177,25,73.575508
72.449275,35,73.724265
49.941337,8,73.758127
58.231964,17,73.830426
50.139145,12,73.880989
60.780764,19,73.961522
77.828221,39,74.127268
53.223609,11,74.173724
56.926449,16,74.241162
77.567438,30,74.368431
55.523459,18,74.44474
49.330699,12,74.496043
63.262303,22,74.588805
59.928787,20,74.673109
66.809125,28,74.79168
66.348458,26,74.906242
61.096846,22,74.99991
76.52526,39,75.165376
75.054345,33,75.306501
63.567085,24,75.408017
60.934632,21,75.496902
60.879742,21,75.586107
63.700565,19,75.666605
52.770703,14,75.726461
61.646553,23,75.824388
65.326145,27,75.942303
61.017776,22,76.039686
72.498863,33,76.180154
55.981608,18,76.256843
53.639474,14,76.316642
56.419489,16,76.386761
55.250973,14,76.447304
57.216658,18,76.524877
58.149781,19,76.605992
61.513908,24,76.709175
55.608115,13,76.764827
67.566804,29,76.895629
47.583043,10,76.939261
62.944149,24,77.042049
66.40511,29,77.166249
67.209233,29,77.289408
71.226708,32,77.426116
61.707478,23,77.528201
68.968302,24,77.632233
74.354034,41,77.807324
55.464528,19,77.888568
69.001751,32,78.025195
77.25584,33,78.16492
59.782857,20,78.252683
54.4108,15,78.316611
60.910093,17,78.38824
52.862571,12,78.439317
48.107142,11,78.485819
54.030523,18,78.56236
52.072579,12,78.613535
76.583566,34,78.757615
54.022559,13,78.812719
65.634521,26,78.922992
59.914012,21,79.011835
69.01461,26,79.12207
58.086432,19,79.200649
59.402225,22,80.063647
73.124721,35,80.212036
56.724182,16,80.280192
55.09801,16,80.348375
59.029777,19,80.42961
62.721975,26,80.540992
54.146083,13,80.596845
49.503627,12,80.648477
56.538213,14,80.707867
74.693356,37,80.865807
57.172368,16,80.934571
63.528817,23,81.032085
62.71833,26,81.142843
58.476515,21,81.231901
70.515116,31,81.3635
62.333068,17,81.438959
61.437056,19,81.520008
60.975403,21,81.608583
77.411369,42,81.787141
68.658025,30,81.914632
67.301776,24,82.015986
54.631471,16,82.083809
55.32236,11,82.130466
57.754599,20,82.215516
67.714231,30,82.343291
55.209312,12,82.393846
59.33893,16,82.461486
54.774932,13,82.521379
77.487303,39,82.691008
59.957177,15,82.758617
53.08115,12,82.815722
68.325932,28,82.95029
81.735225,39,83.12389
53.514292,15,83.18727
53.983883,15,83.257427
64.107356,27,83.375497
67.523892,42,83.55932
72.972604,33,83.701068
60.010958,21,83.789875
62.620918,21,83.878683
50.467826,12,83.932446
59.831867,18,84.008744
61.197884,23,84.109447
71.438223,31,84.245076
64.014015,25,84.35066
56.223773,15,84.414109
64.686411,29,84.540445
63.672821,22,84.634539
50.27453,12,84.68848
55.145346,13,84.74541
82.11563,41,84.92692
68.731995,30,85.059774
77.564262,34,85.21149
51.382838,11,85.260672
61.187121,22,85.358971
66.72663,28,85.479048
60.902856,23,85.576282
57.139974,18,85.653455
64.394368,26,85.763868
55.661854,17,85.8387
64.772425,26,85.955003
62.366863,24,86.057505
66.605814,29,86.180487
61.686793,20,86.265805
52.755335,13,86.320466
71.54736,29,86.446783
61.987314,24,86.552523
49.957378,12,86.604915
51.324808,11,86.654273
57.331131,17,86.728398
60.110277,18,86.809133
58.42417,18,86.889385
54.983504,16,86.960958
55.506098,15,87.027741
60.209851,23,87.132877
59.863528,20,87.217899
62.64789,26,87.327826
69.366946,28,87.447048
49.760442,8,87.480825
62.103955,21,87.573816
47.622011,11,87.6226
53.063915,14,87.684645
71.519029,32,87.820415
55.443727,11,87.867901
80.611793,41,88.041077
52.293064,13,88.096786
61.916436,23,88.201372
63.722398,25,88.311981
60.021465,22,88.408807
53.750703,12,88.461015
57.216239,14,88.526574
54.256863,16,88.598473
52.973026,13,88.656641
61.455107,18,88.736934
68.180036,28,88.857297
60.540032,16,89.708244
61.207563,23,89.810408
57.253674,16,89.881284
72.703106,42,90.066868
60.096663,22,90.164507
57.943586,18,90.246102
58.932295,19,90.336994
63.014976,25,90.449231
71.932274,29,90.576545
56.722976,19,90.659969
65.225628,26,90.770736
73.944279,34,90.915379
71.564105,35,91.072159
62.819844,24,91.175429
74.240627,35,91.324091
55.796272,16,91.392154
58.286938,20,91.477293
76.48688,37,91.640211
64.259548,26,91.752625
54.1082,14,91.812157
55.210416,10,91.854802
60.851649,21,91.947028
62.509616,41,92.125174
53.27013,15,92.189166
59.760995,20,92.275042
75.407002,41,92.454602
54.88829,16,92.52295
44.566919,8,92.556742
58.103941,16,92.625115
57.853594,15,92.691154
75.147531,39,92.86278
61.156146,21,92.95585
62.74955,23,93.056637
61.103085,23,93.158673
55.393435,16,93.229971
56.176135,16,93.301276
57.098289,18,93.3804
58.227207,18,93.460253
66.572532,28,93.580117
61.878144,20,93.664723
67.925926,26,93.776041
52.765002,14,93.838663
59.005119,19,93.923172
57.089204,17,93.997809
71.95941,32,94.136
64.975858,28,94.257402
49.770624,12,94.309453
71.907716,34,94.461209
72.066111,33,94.610388
54.134342,16,94.67956
60.484859,19,94.761282
79.185271,36,94.924501
57.490221,17,94.997518
54.396869,14,95.057586
57.75039,19,95.139576
64.909674,27,95.258598
52.52734,10,95.302478
65.333116,42,95.48971
55.761948,18,95.569759
56.751063,19,95.654425
68.154273,26,95.766249
58.878002,20,95.851513
52.759346,16,95.91972
69.977746,30,96.050284
60.135679,23,96.155214
76.406429,36,96.31373
49.724473,11,96.362387
57.340005,20,96.449974
61.441964,22,96.547656
70.772148,33,96.693547
63.313694,21,96.786523
59.504847,22,96.880162
69.027965,33,97.019963
64.160692,25,97.125925
56.564534,15,97.189774
58.476113,16,97.260926
59.827279,23,97.36334
56.841671,20,97.449642
50.469263,12,97.500474
72.21564,34,97.645183
74.583453,32,97.781484
74.883101,37,97.944751
62.600719,23,98.043665
52.540811,15,98.107752
65.495397,28,98.229146
69.158517,33,98.373919
80.25693,41,98.547259
57.360961,19,98.632042
61.402059,25,99.528907
63.213447,25,99.63975
63.249006,25,99.750641
51.685708,11,99.798806
63.314242,26,99.916147
75.519933,37,100.080877
66.234283,29,100.209226
56.561667,17,100.28413
56.529532,18,100.363475
55.34227,18,100.442832
56.650455,18,100.520125
59.643319,21,100.609043
57.060698,19,100.692138
61.868539,21,100.784798
69.262782,32,100.925116
59.658878,21,101.017002
71.602251,31,101.152885
72.696723,35,101.305075
52.326152,14,101.370173
55.888455,13,101.425791
66.821483,31,101.557254
54.929088,16,101.62697
55.162654,15,101.693241
53.150378,14,101.755774
58.105108,19,101.83691
59.540073,20,101.930408
65.685497,26,102.041387
55.403215,18,102.117336
72.13078,29,102.242321
71.750207,34,102.398983
61.345508,24,102.505509
65.355025,23,102.604575
70.940709,33,102.74502
57.591651,19,102.828181
49.707654,11,102.876683
63.394986,23,102.978422
57.312575,15,103.044642
52.971677,13,103.102704
50.937714,12,103.155723
50.558906,12,103.20675
48.224505,8,103.241554
55.284015,14,103.301333
55.174257,18,103.380673
59.202662,21,103.473155
73.603713,42,103.652301
63.027351,22,103.747592
73.466174,35,103.901654
57.018737,17,103.974329
62.584944,42,104.152866
50.526627,13,104.207555
57.968753,18,104.287957
53.032538,15,104.352489
73.279895,34,104.496247
57.046905,18,104.574967
53.561708,9,104.614407
58.777931,18,104.693605
74.66921,37,104.857979
55.164976,13,104.914501
64.9696,25,105.020886
51.955747,8,105.055146
67.101447,29,105.181666
52.76933,15,105.247624
54.589851,14,105.309308
59.111653,20,105.397605
59.659069,20,105.483262
63.699479,25,105.594867
73.366916,35,105.748855
52.352111,12,105.802578
55.242625,15,105.868606
65.10742,26,105.980578
64.302824,22,106.077405
57.837889,19,106.162782
68.624626,32,106.300768
56.097005,19,106.381215
62.064918,22,106.474401
60.655681,22,106.567491
69.554335,29,106.694548
55.603692,16,106.762557
49.907069,11,106.808646
68.259606,30,106.93768
69.690285,30,107.06783
66.734137,25,107.174347
57.875221,15,107.238276
66.101692,26,107.348155
55.073453,14,107.407741
57.805302,20,107.492086
53.90359,14,107.557133
50.552266,11,107.606912
67.124921,26,107.723575
53.439694,12,107.774743
66.167255,25,107.880914
58.745976,20,107.965944
56.93317,19,108.049263
66.20858,27,108.164139
62.370785,23,108.258232
70.603848,35,109.187057
55.559256,13,109.241904
69.726465,29,109.365752
52.002267,8,109.400069
65.575034,27,109.514995
54.958141,16,109.583446
67.913346,28,109.703331
