#{"t_start": 1735350997.7824118, "env_id": "Hopper-v5"}
r,l,t
45.205155,42,1.730923
26.425112,42,1.910919
60.639579,42,2.089786
68.130268,42,2.269036
78.600793,37,2.426979
68.022617,30,2.554644
70.5248,41,2.729565
78.493728,41,2.904541
-28.432289,17,2.976876
26.686596,42,3.155448
27.266563,42,3.333978
55.680832,39,3.499418
76.74188,34,3.644589
37.888518,42,3.823065
-25.808194,17,3.894915
63.291105,42,4.073172
53.90769,16,4.141279
65.189008,41,4.314947
43.012586,42,4.492982
58.940388,42,4.672249
79.424411,38,4.833048
67.006033,42,5.011126
67.811916,42,5.189487
45.224237,42,5.367554
51.088091,42,5.54962
81.773918,41,5.724567
63.367686,42,5.905293
61.128127,23,6.007765
47.48163,42,6.190518
60.795028,42,6.37041
41.438729,42,6.553207
74.305711,29,6.677971
62.628577,24,6.779622
70.428982,41,6.951779
46.01395,41,7.125082
60.229813,42,7.300966
66.595948,42,7.48135
-4.84484,39,7.645606
54.601758,42,7.822001
57.862504,42,7.998419
76.175644,35,8.146105
57.012219,42,8.322069
70.208612,30,8.448053
55.769284,42,8.624376
27.947183,42,8.800667
75.781612,37,8.956234
53.358106,14,9.014546
64.672065,26,9.123739
70.351667,32,9.257913
76.018586,39,9.422723
24.319583,42,9.59804
76.349922,41,9.77041
48.366149,42,9.946943
-15.82087,26,10.056107
63.220054,41,10.228236
63.873719,42,12.616024
38.544744,40,12.787414
49.053717,42,12.969466
76.011022,40,13.137536
19.649321,42,13.319102
80.400433,40,13.493114
53.851691,42,13.68375
60.233698,24,13.794462
78.877638,39,13.973871
73.148608,42,14.167815
74.156844,27,14.286948
79.248599,40,14.459281
76.844097,38,14.627599
71.278574,36,14.786152
70.823449,33,14.925382
40.59785,42,15.103105
64.618996,42,15.289457
75.07664,34,15.438131
33.883645,42,15.623452
74.257695,35,15.778352
73.241719,36,15.936951
70.72836,26,16.049228
72.896445,32,16.185201
66.177837,29,16.308854
60.450956,21,16.401542
66.812528,28,16.525038
43.687433,42,16.702955
61.998759,23,16.800725
69.885602,42,16.983355
62.313823,23,17.084107
51.158466,42,17.268141
72.580756,35,17.423094
66.479399,28,17.546827
75.978961,39,17.716907
66.64309,27,17.831049
69.834283,30,17.958738
59.616318,42,18.142198
77.747493,41,18.319783
45.287292,42,18.49874
-11.426962,32,18.634895
70.088742,32,18.776074
42.958194,42,18.962887
59.81815,42,19.157192
57.687666,42,19.341885
64.808959,27,19.456715
70.047168,42,19.637661
83.34928,41,19.818083
79.109051,39,19.994654
62.243324,25,20.100507
75.46903,42,20.281091
77.946472,35,20.433263
75.212746,37,20.592133
-19.542186,22,20.685439
35.507395,42,20.869932
34.755421,42,21.053002
66.878532,27,21.170169
-22.124201,20,21.258116
72.790221,42,22.235533
70.783139,33,22.376473
68.723446,31,22.508578
75.344224,33,22.651939
60.88221,19,22.736322
65.942989,29,22.869133
71.719158,32,23.005452
77.358216,41,23.179297
72.584676,28,23.303498
55.278134,42,23.483442
73.721478,36,23.63866
83.451721,41,23.816947
70.799677,32,23.954181
56.426989,42,24.138521
76.15595,35,24.28751
47.292399,9,24.32743
-26.484433,13,24.384772
53.593405,13,24.44225
55.227197,14,24.503476
64.287359,28,24.622209
73.662157,41,24.795486
45.036446,42,24.978584
74.49661,37,25.140413
35.852164,42,25.333055
77.492994,36,25.499572
76.080017,36,25.658083
69.403126,42,25.839067
62.678064,42,26.020106
56.733438,17,26.095293
80.470212,41,26.277456
48.618805,42,26.458647
75.184785,41,26.640285
59.407665,42,26.82097
72.42851,33,26.963261
59.280725,22,27.059909
77.618179,36,27.212949
81.72607,41,27.396876
56.104221,14,27.458598
60.992473,12,27.509536
77.11472,38,27.671509
60.469411,42,27.857746
67.691564,26,27.967571
67.769464,25,28.072639
53.028674,13,28.128214
70.130252,31,28.260582
55.362728,17,28.33571
60.527854,20,28.422621
70.577569,32,28.562247
54.791789,42,28.745733
74.568784,41,28.924604
70.895964,33,29.070983
62.671381,26,29.183656
57.770221,42,29.364476
52.819963,11,29.412788
65.83094,28,29.536007
48.125338,11,29.584085
71.164323,33,29.727759
41.02397,42,29.906698
76.151494,41,30.086838
72.175544,42,30.265241
18.108844,42,30.452401
71.26922,35,30.601381
78.505601,40,30.774704
64.176095,26,30.886719
63.78382,26,31.000126
65.143468,27,31.923517
67.893918,31,32.057417
77.065443,42,32.240678
57.419618,21,32.329632
56.360825,17,32.40304
69.091048,42,32.587952
72.651937,31,32.722054
60.598117,21,32.814774
59.531368,21,32.906899
68.461576,27,33.027174
56.278548,20,33.11605
55.508535,18,33.192712
57.825574,20,33.280398
60.997752,22,33.376265
75.966092,39,33.550663
68.308405,30,33.679274
61.826971,23,33.77693
64.514737,25,33.892409
59.026472,23,33.994007
77.514648,36,34.15206
62.411181,21,34.241867
69.943152,32,34.37741
47.71513,9,34.416323
59.893746,22,34.512506
61.170446,24,34.616895
62.910779,42,34.797738
61.456694,23,34.899995
58.222584,20,34.986841
60.157049,20,35.071984
55.912989,16,35.140015
63.84667,22,35.233823
61.705268,16,35.301237
54.652796,11,35.351641
75.56638,41,35.525682
59.918281,42,35.70518
57.028853,18,35.781489
69.39185,31,35.912513
58.896129,19,35.993144
75.28823,41,36.166743
61.511391,22,36.25982
64.340088,24,36.361696
56.18263,17,36.43345
76.250747,41,36.606885
79.415799,40,36.779883
75.260194,41,36.959388
62.388726,23,37.058948
56.31297,17,37.131874
51.33244,42,37.313486
69.871769,32,37.44945
61.885272,20,37.534814
75.814149,36,37.691483
67.271735,30,37.818449
67.988203,27,37.933168
81.040515,39,38.098816
66.812502,30,38.225819
59.297482,21,38.314727
78.617089,41,38.494703
63.819243,25,38.603861
62.510328,21,38.693688
76.772131,35,38.847272
52.250668,42,39.026708
69.276211,42,39.208148
59.321429,21,39.301649
74.249109,30,39.431113
57.086222,16,39.505074
80.099231,38,39.674561
60.12623,19,39.756852
67.615488,27,39.873797
57.186562,20,39.960188
54.463245,15,40.025117
61.518726,21,40.116694
67.486212,29,40.242807
65.10993,27,40.359779
51.637264,14,40.421237
64.206469,24,40.525141
56.944301,42,40.703907
57.886767,19,41.580163
61.809874,42,41.764105
68.600813,32,41.904756
62.028733,23,42.004318
71.317019,32,42.141798
66.020218,42,42.322927
52.60554,15,42.387598
63.173535,26,42.500324
