#{"t_start": 1735350997.5502396, "env_id": "Hopper-v5"}
r,l,t
-27.227131,13,1.840986
79.763647,41,2.016273
67.472179,28,2.136111
38.372681,42,2.315254
-20.134052,20,2.400469
39.010458,43,2.584167
46.771173,42,2.763397
67.737941,41,2.938231
19.269292,42,3.11755
39.616507,42,3.295974
45.532022,42,3.474872
28.165953,42,3.653127
28.968858,42,3.831004
55.096073,42,4.009953
-12.637676,33,4.150653
69.900016,32,4.286131
78.610659,36,4.438344
54.207434,12,4.489679
64.894139,42,4.668272
5.251818,41,4.841679
49.799805,42,5.020689
-10.658536,31,5.151852
59.484634,21,5.240984
75.743033,38,5.402275
45.169118,43,5.58466
61.400769,42,5.766905
9.196471,41,5.941612
18.020299,42,6.121756
71.815325,41,6.306215
62.519326,23,6.40331
55.163192,16,6.474674
75.981737,36,6.625772
74.972679,41,6.804425
58.047303,42,6.984335
76.642941,41,7.156483
43.969807,42,7.334152
61.14863,42,7.510119
78.118753,36,7.665249
56.344884,17,7.736656
65.082781,42,7.913392
70.665952,32,8.047504
49.236817,10,8.090176
62.360128,25,8.194812
50.543105,42,8.371876
59.121763,20,8.455477
41.22772,42,8.631921
73.804415,41,8.804117
65.851127,42,8.980849
30.91986,42,9.156363
49.586696,42,9.332499
58.66775,42,9.509232
29.576513,42,9.686513
40.35353,42,9.861644
67.056889,42,10.038245
66.329926,42,10.214381
38.942425,42,10.391598
49.444844,42,12.779624
76.984925,39,12.94265
47.595285,10,12.986267
70.137909,42,13.169803
57.182144,18,13.245481
64.646388,42,13.422499
-20.742333,21,13.514699
62.603124,42,13.696634
49.977422,11,13.744698
64.022593,26,13.863866
74.872148,38,14.037972
71.226368,31,14.18029
63.522489,26,14.301483
75.193027,42,14.491172
70.970155,42,14.671917
84.941135,36,14.830659
59.089741,42,15.016016
46.163902,42,15.193806
21.673545,42,15.371119
66.528553,42,15.558586
43.153365,42,15.742871
73.847399,30,15.875758
-3.635367,39,16.047899
75.36556,40,16.221828
76.959219,39,16.389678
47.898755,42,16.569646
68.393169,28,16.693249
