#{"t_start": 1735350997.6988535, "env_id": "Hopper-v5"}
r,l,t
25.075404,42,1.816448
65.924317,42,1.996439
43.066797,41,2.170602
64.782595,42,2.349856
47.017428,42,2.529151
55.370699,16,2.597444
19.44672,42,2.776233
53.619663,42,2.955717
-15.11542,26,3.066418
-22.010072,19,3.146808
65.266549,26,3.257527
57.199578,18,3.334402
-28.823964,12,3.385184
32.506783,42,3.563259
70.913929,30,3.691276
32.384833,42,3.869735
51.896109,42,4.048013
72.084465,41,4.222106
69.812768,42,4.400312
63.292892,23,4.497591
74.871218,38,4.658629
58.664249,25,4.766194
72.150423,36,4.918391
16.264542,42,5.096483
83.668743,39,5.261828
54.999822,42,5.439992
66.603167,28,5.562208
70.133601,33,5.702623
63.807354,42,5.882925
78.473296,40,6.058589
62.876827,21,6.152826
65.439361,26,6.263134
63.959253,42,6.44276
-20.633047,24,6.550434
-9.593065,31,6.680673
78.311454,42,6.860502
67.404762,29,6.982339
65.086689,42,7.159877
59.361802,42,7.336216
31.12203,42,7.516095
16.088411,42,7.692947
60.124879,42,7.869141
51.257738,12,7.9202
52.293163,42,8.096304
65.394575,29,8.218073
72.843619,42,8.394463
38.522541,42,8.571006
-34.977834,11,8.617155
78.142049,41,8.789531
75.404016,41,8.961409
68.235543,26,9.070421
61.819092,22,9.162598
72.887015,35,9.309534
54.949332,42,9.48638
74.687126,37,9.641717
47.931496,42,9.817908
57.740868,19,9.897942
20.742294,42,10.073919
76.776346,39,10.238299
79.788518,41,12.621613
71.432896,32,12.756041
62.810379,20,12.841855
35.107111,42,13.025067
58.333121,42,13.201359
77.143809,39,13.370091
74.092606,33,13.51218
62.829487,25,13.622225
43.615898,42,13.813723
50.217446,9,13.856652
45.660235,42,14.050087
66.795807,28,14.17952
77.886484,40,14.359262
59.891285,21,14.451326
57.332436,17,14.522754
62.062508,25,14.632201
52.3401,16,14.703834
33.420342,42,14.888192
61.871026,23,14.985408
69.349502,30,15.112428
79.148289,38,15.274113
75.622552,39,15.449361
65.21768,26,15.563038
67.744892,30,15.69548
81.223654,40,15.872492
58.319465,15,15.938471
63.499182,26,16.05192
66.912984,28,16.173531
78.075558,35,16.320946
48.163298,10,16.363746
15.363279,42,16.54887
66.878138,25,16.657211
47.019536,42,16.835124
61.927956,17,16.906796
70.418894,25,17.015218
76.133651,39,17.186646
65.428889,41,17.367115
66.7221,32,17.508536
60.346479,20,17.597222
