#{"t_start": 1735350997.6917617, "env_id": "Hopper-v5"}
r,l,t
65.22981,42,1.82297
57.129596,42,2.002979
76.712407,42,2.181794
74.700364,35,2.331145
46.703693,42,2.510175
14.774924,42,2.689395
49.924063,42,2.868168
58.490175,42,3.047663
66.521655,42,3.226264
73.107045,34,3.370744
64.554088,27,3.484995
-26.96135,12,3.536227
68.290175,42,3.715288
32.675251,42,3.893254
61.821109,42,4.071826
59.84923,21,4.160693
63.288276,42,4.338648
75.093233,39,4.504112
65.095815,29,4.627431
51.928243,42,4.80624
78.402045,41,4.979932
64.87235,42,5.157992
52.922856,42,5.336577
64.330047,40,5.50888
57.375708,18,5.58574
77.740885,40,5.756749
64.278117,42,5.936197
52.282635,42,6.124837
73.598863,42,6.306818
58.280728,18,6.382031
69.436667,29,6.510309
-12.64762,33,6.649387
74.239595,38,6.812114
30.413905,42,6.988877
67.374802,42,7.166395
19.180384,42,7.34275
42.724319,42,7.522619
53.904845,42,7.699488
70.985882,34,7.842404
-26.43492,16,7.909473
74.066033,41,8.08181
52.593598,42,8.258942
67.063083,42,8.434957
37.544059,42,8.611153
53.259944,42,8.787624
74.516315,38,8.947255
22.814954,42,9.123109
54.924541,42,9.299366
-28.147543,14,9.358346
-16.600611,33,9.497793
54.394332,42,9.673298
61.596678,25,9.778168
67.129881,30,9.904466
70.95877,41,10.076344
52.722555,42,10.253538
76.978297,40,12.632596
51.488059,42,12.808632
75.548216,41,12.988534
67.709616,41,13.162072
58.569331,21,13.250901
69.152493,33,13.393811
70.902284,29,13.518677
63.546782,26,13.633511
38.945648,42,13.82493
-31.875582,9,13.868202
69.659416,33,14.016349
-19.509694,23,14.1241
72.787266,41,14.310624
68.764068,32,14.453682
76.318896,35,14.601857
72.781634,36,14.763928
75.391078,38,14.928446
54.212298,42,15.106297
66.496649,29,15.228626
-18.60318,28,15.355517
80.181664,39,15.525568
68.589698,32,15.667199
80.725735,40,15.843626
77.583405,41,16.024515
65.922577,42,16.205217
24.538182,40,16.374761
48.839333,42,16.560416
47.547496,42,16.739853
71.409892,33,16.879827
70.767294,34,17.026393
6.472991,41,17.206437
74.747525,41,17.387001
51.557125,42,17.573
73.249343,42,17.757911
68.190459,42,17.935846
62.419523,25,18.042104
76.88627,39,18.212201
67.43825,25,18.323148
55.653796,42,18.501315
73.709068,37,18.658276
76.568696,36,18.815804
66.134555,26,18.928973
57.546634,18,19.007591
70.038526,29,19.143876
52.461015,42,19.332816
79.041448,38,19.498414
76.279691,40,19.66743
-21.289652,25,19.776454
69.146949,42,19.96296
75.338365,33,20.112174
58.340349,42,20.292865
66.02629,42,20.472501
18.096114,42,20.654241
68.190783,33,20.794887
-31.45804,16,20.865066
-34.418789,8,20.900652
61.771437,42,21.085504
62.896903,25,21.192042
62.486198,42,21.376281
63.438671,22,21.467293
63.941492,27,22.382729
83.205668,41,22.557413
56.058312,18,22.634539
56.362502,42,22.819308
82.39836,41,23.003458
76.233727,38,23.164964
59.085003,18,23.241163
57.174385,20,23.329031
58.33013,22,23.426037
74.900939,41,23.601024
77.085069,36,23.757037
54.267867,16,23.827406
78.0795,34,23.972856
66.825969,42,24.156321
62.061519,42,24.336883
63.810348,27,24.454594
61.061321,23,24.556479
-23.185408,18,24.633865
69.408083,41,24.807706
76.288248,41,24.981756
67.348748,30,25.114031
73.237292,36,25.271697
77.487293,40,25.456499
36.936712,42,25.650527
79.828162,39,25.819602
70.323262,27,25.935409
71.291885,32,26.072028
51.40158,12,26.125443
68.832593,42,26.314025
61.516175,22,26.407365
66.970081,32,26.546175
63.089231,24,26.649938
73.035809,32,26.793853
59.105127,20,26.878491
68.598137,42,27.059685
74.033168,35,27.212197
79.220076,41,27.385921
63.750674,23,27.493274
58.344646,20,27.580388
58.643301,20,27.665267
71.551876,42,27.848117
59.060541,19,27.932048
58.18436,19,28.012646
66.73787,28,28.131112
65.692812,28,28.249754
64.419853,28,28.37027
-26.62662,14,28.432101
63.727922,42,28.61517
64.208066,21,28.706689
54.146361,41,28.885738
62.573953,26,28.998877
74.468118,39,29.172299
58.033785,18,29.250184
57.710001,42,29.430014
62.19933,24,29.536212
56.00246,42,29.719952
60.792494,21,29.81119
59.768909,21,29.899909
61.389091,23,29.998764
